,s01_h1_block20_1011311_1017140_F,s01_h1_block20_1021091_1026710_F,s01_h1_block20_1029964_1036046_F,s01_h1_block20_1040048_1045068_F,s01_h1_block20_1049153_1054777_F,s01_h1_block20_1058737_1063950_F,s01_h1_block20_1067532_1073634_F,s01_h1_block20_1077031_1083203_F,s01_h2_block12_766661_772482_F,s01_h2_block12_776438_782187_F,s01_h2_block12_786172_791525_F,s01_h2_block12_795180_800611_F,s01_h2_block12_804091_809990_F,s01_h2_block12_813712_819820_F,s02_h2_block10_662424_664384_F,s02_h2_block10_671895_673763_F,s02_h2_block10_719169_721258_F,s02_h1_block10_641944_649440_F,s02_h1_block10_651706_659059_F,s02_h1_block10_661235_668288_F,s02_h1_block10_670490_677670_F,s02_h1_block10_679858_687061_F,s02_h2_block12_667200_669848_F,s02_h2_block12_677208_679592_F,s02_h2_block12_686415_688831_F,s02_h2_block12_695745_698153_F,s02_h2_block12_705183_707404_F,s02_h2_block12_714494_717250_F,s02_h2_block11_664387_667141_F,s02_h2_block11_673765_677142_F,s02_h2_block11_682927_686148_F,s02_h2_block11_692578_695467_F,s02_h2_block11_701489_704917_F,s02_h2_block11_711110_714327_F
s01_h2_block12_786172_791525_F,79.46,82.76,73.62,95.62,78.99,85.1,74.39,76.15,79.33,77.47,100.0,81.79,76.72,77.34,17.14,17.57,15.05,59.26,59.13,77.68,64.92,61.77,54.17,49.01,66.26,57.53,52.33,52.27,66.07,65.75,60.64,61.58,60.17,62.0
s01_h2_block12_795180_800611_F,85.12,97.03,82.4,81.71,86.66,94.41,82.04,81.72,85.13,85.76,81.79,100.0,84.26,82.97,22.91,16.68,14.16,65.85,67.92,68.99,79.01,69.43,55.15,50.78,54.43,62.08,54.18,53.41,65.14,71.87,63.41,70.14,65.11,67.33
s01_h2_block12_804091_809990_F,84.98,86.31,88.81,73.21,86.48,81.63,96.25,86.27,84.89,85.34,76.72,84.26,100.0,85.43,23.7,18.09,15.2,72.11,74.45,67.93,75.15,84.43,55.92,50.74,48.94,56.21,57.35,53.77,59.26,66.35,62.33,61.86,71.46,64.3
s01_h2_block12_813712_819820_F,87.06,85.04,86.56,73.91,87.37,80.17,88.06,98.4,86.95,87.94,77.34,82.97,85.43,100.0,17.54,11.3,8.79,72.81,73.71,64.62,69.54,74.75,55.94,54.41,48.48,53.69,52.17,60.69,57.8,63.96,57.38,59.47,60.79,66.74
s02_h2_block10_662424_664384_F,19.17,20.93,22.81,21.18,19.88,22.12,20.31,18.43,19.17,18.85,17.14,22.91,23.7,17.54,100.0,89.56,82.69,35.62,33.12,33.71,35.87,31.79,47.39,50.41,50.04,50.13,52.27,46.16,46.18,46.61,53.06,52.36,51.96,50.63
s02_h2_block10_671895_673763_F,12.19,14.54,16.87,21.37,14.48,19.17,14.68,12.24,12.23,13.05,17.57,16.68,18.09,11.3,89.56,100.0,89.51,25.37,29.56,27.86,31.88,27.11,48.44,51.45,51.09,51.18,53.32,47.21,47.23,40.12,46.91,45.97,46.37,44.39
s02_h2_block10_719169_721258_F,9.67,12.02,13.8,18.85,11.96,16.65,11.83,9.71,9.71,10.53,15.05,14.16,15.2,8.79,82.69,89.51,100.0,18.52,19.76,20.29,22.71,18.79,45.92,48.93,48.57,48.66,50.79,44.69,44.71,37.6,44.28,43.46,43.47,41.88
s02_h1_block10_641944_649440_F,75.5,67.89,73.91,55.93,69.87,62.95,74.05,73.26,75.32,70.65,59.26,65.85,72.11,72.81,35.62,25.37,18.52,100.0,85.88,73.48,82.2,84.58,44.68,37.52,31.3,37.19,35.98,40.08,45.89,47.7,43.99,43.64,48.1,46.14
s02_h1_block10_651706_659059_F,69.42,70.1,83.61,55.7,79.64,64.46,76.47,74.52,69.29,79.41,59.13,67.92,74.45,73.71,33.12,29.56,19.76,85.88,100.0,74.2,86.25,87.82,41.94,43.3,32.8,39.82,37.9,43.11,41.37,54.63,46.7,46.45,50.01,46.24
s02_h1_block10_661235_668288_F,64.57,67.79,66.26,76.47,62.9,69.36,64.56,65.13,64.4,62.08,77.68,68.99,67.93,64.62,33.71,27.86,20.29,73.48,74.2,100.0,79.71,75.72,32.45,27.31,46.86,36.08,30.62,30.55,46.64,53.42,56.26,49.26,53.98,51.71
s02_h1_block10_670490_677670_F,69.25,81.09,73.99,61.42,70.62,73.83,71.81,69.93,69.15,69.75,64.92,79.01,75.15,69.54,35.87,31.88,22.71,82.2,86.25,79.71,100.0,84.32,39.18,35.05,35.42,45.54,38.43,37.69,45.13,51.77,48.62,51.03,51.88,50.09
s02_h1_block10_679858_687061_F,71.9,71.48,78.41,58.24,74.03,66.64,85.63,75.57,71.74,74.79,61.77,69.43,84.43,74.75,31.79,27.11,18.79,84.58,87.82,75.72,84.32,100.0,43.76,40.2,34.23,41.45,43.15,43.19,44.31,51.47,47.4,46.92,56.92,49.36
s02_h2_block12_667200_669848_F,60.76,57.39,56.28,50.56,61.55,55.83,56.34,55.22,60.79,60.08,54.17,55.15,55.92,55.94,47.39,48.44,45.92,44.68,41.94,32.45,39.18,43.76,100.0,90.14,85.6,92.51,91.3,92.74,38.33,38.34,33.0,36.79,31.92,33.05
s02_h2_block12_677208_679592_F,52.92,53.06,55.04,45.28,59.74,51.5,53.89,53.66,53.01,59.5,49.01,50.78,50.74,54.41,50.41,51.45,48.93,37.52,43.3,27.31,35.05,40.2,90.14,100.0,80.45,88.37,93.03,92.63,41.34,34.23,36.02,39.8,33.65,36.06
s02_h2_block12_686415_688831_F,51.25,53.59,47.2,64.51,52.62,55.08,46.71,47.77,51.24,51.0,66.26,54.43,48.94,48.48,50.04,51.09,48.57,31.3,32.8,46.86,35.42,34.23,85.6,80.45,100.0,89.23,83.76,83.69,40.98,41.49,35.65,39.44,34.74,35.7
s02_h2_block12_695745_698153_F,56.01,63.13,54.23,54.02,59.53,62.67,54.0,52.96,56.08,58.03,57.53,62.08,56.21,53.69,50.13,51.18,48.66,37.19,39.82,36.08,45.54,41.45,92.51,88.37,89.23,100.0,91.77,91.02,41.07,40.68,35.74,39.53,34.05,35.79
s02_h2_block12_705183_707404_F,55.13,56.44,52.69,48.49,57.71,54.82,55.37,51.44,55.19,56.49,52.33,54.18,57.35,52.17,52.27,53.32,50.79,35.98,37.9,30.62,38.43,43.15,91.3,93.03,83.76,91.77,100.0,90.54,43.2,36.24,37.88,41.66,35.51,37.92
s02_h2_block12_714494_717250_F,55.81,55.72,56.36,48.51,60.18,54.1,56.46,59.96,55.85,60.76,52.27,53.41,53.77,60.69,46.16,47.21,44.69,40.08,43.11,30.55,37.69,43.19,92.74,92.63,83.69,91.02,90.54,100.0,37.1,35.76,31.77,35.56,29.41,31.82
s02_h2_block11_664387_667141_F,62.67,62.64,55.87,69.91,61.13,67.35,56.91,56.65,62.64,59.76,66.07,65.14,59.26,57.8,46.18,47.23,44.71,45.89,41.37,46.64,45.13,44.31,38.33,41.34,40.98,41.07,43.2,37.1,100.0,86.74,85.86,89.99,87.39,90.47
s02_h2_block11_673765_677142_F,66.67,69.61,68.28,69.85,72.38,70.18,64.0,63.12,66.62,71.05,65.75,71.87,66.35,63.96,46.61,40.12,37.6,47.7,54.63,53.42,51.77,51.47,38.34,34.23,41.49,40.68,36.24,35.76,86.74,100.0,87.04,91.53,88.53,89.15
s02_h2_block11_682927_686148_F,58.17,61.12,61.3,64.75,59.97,65.61,59.98,58.02,58.11,59.35,60.64,63.41,62.33,57.38,53.06,46.91,44.28,43.99,46.7,56.26,48.62,47.4,33.0,36.02,35.65,35.74,37.88,31.77,85.86,87.04,100.0,92.94,90.48,90.45
s02_h2_block11_692578_695467_F,62.48,67.84,61.04,65.66,64.73,66.84,59.51,58.53,62.41,63.96,61.58,70.14,61.86,59.47,52.36,45.97,43.46,43.64,46.45,49.26,51.03,46.92,36.79,39.8,39.44,39.53,41.66,35.56,89.99,91.53,92.94,100.0,90.0,92.37
s02_h2_block11_701489_704917_F,60.8,62.79,64.14,64.28,61.85,64.18,68.0,61.6,60.74,60.54,60.17,65.11,71.46,60.79,51.96,46.37,43.47,48.1,50.01,53.98,51.88,56.92,31.92,33.65,34.74,34.05,35.51,29.41,87.39,88.53,90.48,90.0,100.0,92.43
s02_h2_block11_711110_714327_F,63.15,65.02,60.78,66.03,62.48,66.31,61.92,65.55,63.07,61.45,62.0,67.33,64.3,66.74,50.63,44.39,41.88,46.14,46.24,51.71,50.09,49.36,33.05,36.06,35.7,35.79,37.92,31.82,90.47,89.15,90.45,92.37,92.43,100.0
