,s03-h2_block6_173653_176867_F,s03-h2_block6_438940_442066_F,s03-h2_block6_463426_466290_F,s03-h2_block6_507933_511037_F,s03-h2_block6_542214_545319_F,s03-h2_block6_566064_569194_F,s03-h2_block6_590542_593423_F,s03-h2_block6_614564_617418_F,s01-h1_block6_174363_177577_F,s01-h1_block6_439650_442776_F,s01-h1_block6_464136_467000_F,s01-h1_block6_508643_511747_F,s01-h1_block6_542924_546029_F,s01-h1_block6_566774_569904_F,s01-h1_block6_591252_594133_F,s01-h1_block6_615274_618128_F,s04-h1_block6_171581_175620_F,s04-h1_block6_427268_430895_F,s04-h1_block6_458826_462478_F,s04-h1_block6_482893_486526_F,s04-h2_block6_172235_175481_F,s04-h2_block6_419381_422508_F,s04-h2_block6_443862_446747_F,s04-h2_block6_478118_481036_F,s04-h2_block6_502482_505169_F,s04-h2_block6_536451_539585_F,s04-h2_block6_560708_563509_F,s02-h1_block6_185879_189950_F,s02-h1_block6_341995_345920_F,s02-h2_block7_339542_344326_F,s02-h2_block7_363316_368003_F,s03-h1_block5_172024_175233_F,s03-h1_block5_410350_413472_F,s03-h1_block5_434854_437702_F,s03-h1_block5_468975_472036_F,s03-h1_block5_493450_496275_F,s03-h1_block5_517031_520160_F,s03-h1_block5_541286_544119_F,s01-h2_block6_173956_177194_F,s01-h2_block6_219147_222267_F,s01-h2_block6_243646_246515_F,s01-h2_block6_288134_291265_F,s01-h2_block6_322415_325546_F,s01-h2_block6_346265_349395_F,s01-h2_block6_370520_373363_F
s01-h1_block6_464136_467000_F,85.93,91.66,100.0,92.76,92.7,92.47,98.63,90.08,85.93,91.66,100.0,92.76,92.7,92.47,98.63,90.08,69.95,84.98,81.19,74.45,85.31,91.64,99.46,96.55,96.57,92.24,88.37,69.54,78.38,59.84,61.63,86.0,91.84,99.52,93.8,99.08,92.51,89.28,85.56,91.78,99.17,92.47,92.43,92.47,88.91
s01-h1_block6_508643_511747_F,83.44,97.67,92.76,100.0,99.81,99.27,93.28,92.82,83.44,97.67,92.76,100.0,99.81,99.27,93.28,92.82,74.97,87.43,84.41,77.19,82.81,97.52,92.26,95.09,89.7,99.11,91.84,74.59,81.63,65.85,68.14,83.35,97.61,92.43,97.98,92.26,99.23,92.38,82.94,97.55,91.95,99.48,99.31,99.27,92.61
s01-h1_block6_542924_546029_F,83.46,97.79,92.7,99.81,100.0,99.46,93.22,92.7,83.46,97.79,92.7,99.81,100.0,99.46,93.22,92.7,74.99,87.35,84.29,77.07,82.83,97.63,92.2,95.23,89.6,99.23,91.8,74.61,81.56,65.96,68.02,83.35,97.73,92.38,98.17,92.2,99.42,92.3,82.96,97.67,91.89,99.29,99.5,99.46,92.72
s01-h1_block6_566774_569904_F,83.12,98.29,92.47,99.27,99.46,100.0,92.84,92.24,83.12,98.29,92.47,99.27,99.46,100.0,92.84,92.24,74.64,86.89,83.87,76.61,83.1,98.13,92.66,95.65,89.14,99.65,91.37,74.8,82.08,66.46,68.46,83.0,98.23,92.14,98.59,91.74,99.88,91.88,83.23,98.17,92.32,99.71,99.92,100.0,92.3
s01-h1_block6_591252_594133_F,86.31,91.99,98.63,93.28,93.22,92.84,100.0,90.07,86.31,91.99,98.63,93.28,93.22,92.84,100.0,90.07,70.35,84.85,82.52,74.43,85.62,91.93,98.13,96.92,95.44,92.57,89.47,69.87,78.99,60.2,62.03,86.41,92.16,98.34,94.13,98.13,92.84,90.1,85.85,92.11,97.81,92.8,92.76,92.84,89.89
s01-h1_block6_615274_618128_F,80.27,91.47,90.08,92.82,92.7,92.24,90.07,100.0,80.27,91.47,90.08,92.82,92.7,92.24,90.07,100.0,71.79,84.91,83.83,84.37,79.63,91.36,89.55,88.08,90.51,92.05,98.0,71.33,78.15,59.74,61.61,80.17,91.45,89.95,90.93,89.62,92.26,99.0,79.77,91.36,89.26,92.3,92.2,92.24,98.58
s04-h1_block6_171581_175620_F,83.94,73.76,69.95,74.97,74.99,74.64,70.35,71.79,83.94,73.76,69.95,74.97,74.99,74.64,70.35,71.79,100.0,70.04,67.46,61.82,83.5,73.6,69.45,70.45,67.48,74.45,70.83,98.19,64.3,59.09,60.95,83.9,73.72,69.72,73.3,69.43,74.66,71.45,83.44,73.64,69.16,74.53,74.57,74.64,71.37
s04-h1_block6_427268_430895_F,73.01,86.06,84.98,87.43,87.35,86.89,84.85,84.91,73.01,86.06,84.98,87.43,87.35,86.89,84.85,84.91,70.04,100.0,96.11,89.37,72.37,85.95,84.44,82.77,81.83,86.66,83.21,69.46,92.49,73.89,75.78,72.91,86.04,84.54,85.62,84.37,86.89,84.06,72.51,85.95,84.15,86.91,86.85,86.89,83.67
s04-h1_block6_458826_462478_F,70.41,83.04,81.19,84.41,84.29,83.87,82.52,83.83,70.41,83.04,81.19,84.41,84.29,83.87,82.52,83.83,67.46,96.11,100.0,91.84,69.79,82.88,80.69,79.71,80.61,83.63,83.21,66.83,93.34,74.41,76.32,70.33,83.02,80.9,82.54,80.77,83.85,83.87,69.91,82.92,80.36,83.89,83.79,83.87,83.63
s04-h1_block6_482893_486526_F,64.77,75.86,74.45,77.19,77.07,76.61,74.43,84.37,64.77,75.86,74.45,77.19,77.07,76.61,74.43,84.37,61.82,89.37,91.84,100.0,64.13,75.74,73.91,72.45,74.87,76.42,82.98,61.24,92.78,73.93,75.8,64.67,75.84,74.32,75.3,73.99,76.63,83.98,64.27,75.74,73.62,76.67,76.57,76.61,83.33
s04-h2_block6_172235_175481_F,99.21,82.46,85.31,82.81,82.83,83.1,85.62,79.63,99.21,82.46,85.31,82.81,82.83,83.1,85.62,79.63,83.5,72.37,69.79,64.13,100.0,82.46,85.43,86.41,82.75,83.02,78.69,83.29,67.4,50.64,52.45,99.17,82.63,85.08,84.39,84.69,83.08,79.28,99.67,82.58,85.16,83.04,83.06,83.1,79.23
s04-h2_block6_419381_422508_F,82.21,99.77,91.64,97.52,97.63,98.13,91.93,91.36,82.21,99.77,91.64,97.52,97.63,98.13,91.93,91.36,73.6,85.95,82.88,75.74,82.46,100.0,92.03,94.17,88.31,98.29,90.49,74.2,81.29,67.71,68.27,82.15,99.71,91.32,96.88,90.95,98.06,90.95,82.38,99.77,91.59,98.04,98.13,98.13,91.64
s04-h2_block6_443862_446747_F,85.43,92.05,99.46,92.26,92.2,92.66,98.13,89.55,85.43,92.05,99.46,92.26,92.2,92.66,98.13,89.55,69.45,84.44,80.69,73.91,85.43,92.03,100.0,96.94,96.19,92.63,87.87,69.66,78.78,60.22,62.03,85.5,92.22,99.1,93.99,98.65,92.7,88.78,85.62,92.16,99.56,92.74,92.66,92.66,88.41
s04-h2_block6_478118_481036_F,86.43,94.19,96.55,95.09,95.23,95.65,96.92,88.08,86.43,94.19,96.55,95.09,95.23,95.65,96.92,88.08,70.45,82.77,79.71,72.45,86.41,94.17,96.94,100.0,93.2,95.57,87.24,70.72,78.09,62.36,64.48,86.5,94.32,96.23,96.98,95.82,95.65,87.72,86.62,94.3,96.53,95.57,95.69,95.65,88.12
s04-h2_block6_502482_505169_F,83.46,88.33,96.57,89.7,89.6,89.14,95.44,90.51,83.46,88.33,96.57,89.7,89.6,89.14,95.44,90.51,67.48,81.83,80.61,74.87,82.75,88.31,96.19,93.2,100.0,88.95,88.83,66.98,75.11,56.49,58.34,83.54,88.51,96.71,90.47,97.15,89.16,89.74,83.0,88.45,96.48,89.18,89.1,89.14,89.37
s04-h2_block6_536451_539585_F,82.92,98.44,92.24,99.11,99.23,99.65,92.57,92.05,82.92,98.44,92.24,99.11,99.23,99.65,92.57,92.05,74.45,86.66,83.63,76.42,83.02,98.29,92.63,95.57,88.95,100.0,91.26,74.8,82.04,66.62,68.5,82.81,98.27,91.91,98.36,91.51,99.54,91.64,83.1,98.32,92.2,99.63,99.73,99.65,92.22
s04-h2_block6_560708_563509_F,79.3,90.6,88.37,91.84,91.8,91.37,89.47,98.0,79.3,90.6,88.37,91.84,91.8,91.37,89.47,98.0,70.83,83.21,83.21,82.98,78.69,90.49,87.87,87.24,88.83,91.26,100.0,70.27,77.4,58.93,60.55,79.23,90.51,87.97,90.05,87.83,91.36,98.88,78.8,90.49,87.54,91.32,91.3,91.37,98.61
s02-h1_block6_185879_189950_F,82.73,74.34,69.54,74.59,74.61,74.8,69.87,71.33,82.73,74.34,69.54,74.59,74.61,74.8,69.87,71.33,98.19,69.46,66.83,61.24,83.29,74.2,69.66,70.72,66.98,74.8,70.27,100.0,64.19,59.61,61.44,82.61,74.32,69.33,73.51,69.0,74.78,70.89,83.19,74.22,69.37,74.82,74.84,74.8,70.81
s02-h1_block6_341995_345920_F,67.31,81.48,78.38,81.63,81.56,82.08,78.99,78.15,67.31,81.48,78.38,81.63,81.56,82.08,78.99,78.15,64.3,92.49,93.34,92.78,67.4,81.29,78.78,78.09,75.11,82.04,77.4,64.19,100.0,79.44,81.4,67.21,81.42,78.09,80.69,77.69,82.08,78.09,67.46,81.36,78.38,82.13,82.04,82.08,77.9
s02-h2_block7_339542_344326_F,50.42,67.79,59.84,65.85,65.96,66.46,60.2,59.74,50.42,67.79,59.84,65.85,65.96,66.46,60.2,59.74,59.09,73.89,74.41,73.93,50.64,67.71,60.22,62.36,56.49,66.62,58.93,59.61,79.44,100.0,94.4,50.33,67.65,59.51,65.09,59.15,66.38,59.4,50.6,67.67,59.78,66.37,66.46,66.46,59.97
s02-h2_block7_363316_368003_F,52.25,68.27,61.63,68.14,68.02,68.46,62.03,61.61,52.25,68.27,61.63,68.14,68.02,68.46,62.03,61.61,60.95,75.78,76.32,75.8,52.45,68.27,62.03,64.48,58.34,68.5,60.55,61.44,81.4,94.4,100.0,52.16,68.25,61.34,67.15,60.97,68.43,61.17,52.41,68.16,61.61,68.64,68.5,68.46,61.24
s03-h1_block5_172024_175233_F,99.85,82.17,86.0,83.35,83.35,83.0,86.41,80.17,99.85,82.17,86.0,83.35,83.35,83.0,86.41,80.17,83.9,72.91,70.33,64.67,99.17,82.15,85.5,86.5,83.54,82.81,79.23,82.61,67.21,50.33,52.16,100.0,82.33,85.77,84.29,85.48,83.02,79.82,99.38,82.29,85.21,82.9,82.92,83.0,79.77
s03-h1_block5_410350_413472_F,82.38,99.79,91.84,97.61,97.73,98.23,92.16,91.45,82.38,99.79,91.84,97.61,97.73,98.23,92.16,91.45,73.72,86.04,83.02,75.84,82.63,99.71,92.22,94.32,88.51,98.27,90.51,74.32,81.42,67.65,68.25,82.33,100.0,91.51,97.05,91.14,98.15,91.09,82.56,99.87,91.78,98.13,98.23,98.23,91.62
s03-h1_block5_434854_437702_F,85.7,91.34,99.52,92.43,92.38,92.14,98.34,89.95,85.7,91.34,99.52,92.43,92.38,92.14,98.34,89.95,69.72,84.54,80.9,74.32,85.08,91.32,99.1,96.23,96.71,91.91,87.97,69.33,78.09,59.51,61.34,85.77,91.51,100.0,93.47,99.4,92.18,88.95,85.33,91.45,99.31,92.14,92.11,92.14,88.54
s03-h1_block5_468975_472036_F,84.41,96.92,93.8,97.98,98.17,98.59,94.13,90.93,84.41,96.92,93.8,97.98,98.17,98.59,94.13,90.93,73.3,85.62,82.54,75.3,84.39,96.88,93.99,96.98,90.47,98.36,90.05,73.51,80.69,65.09,67.15,84.29,97.05,93.47,100.0,93.07,98.48,90.53,84.52,97.04,93.65,98.42,98.63,98.59,90.95
s03-h1_block5_493450_496275_F,85.41,90.97,99.08,92.26,92.2,91.74,98.13,89.62,85.41,90.97,99.08,92.26,92.2,91.74,98.13,89.62,69.43,84.37,80.77,73.99,84.69,90.95,98.65,95.82,97.15,91.51,87.83,69.0,77.69,59.15,60.97,85.48,91.14,99.4,93.07,100.0,91.78,88.81,84.94,91.09,98.98,91.74,91.7,91.74,88.41
s03-h1_block5_517031_520160_F,83.13,98.21,92.51,99.23,99.42,99.88,92.84,92.26,83.13,98.21,92.51,99.23,99.42,99.88,92.84,92.26,74.66,86.89,83.85,76.63,83.08,98.06,92.7,95.65,89.16,99.54,91.36,74.78,82.08,66.38,68.43,83.02,98.15,92.18,98.48,91.78,100.0,91.89,83.21,98.09,92.38,99.6,99.81,99.88,92.32
s03-h1_block5_541286_544119_F,79.9,91.11,89.28,92.38,92.3,91.88,90.1,99.0,79.9,91.11,89.28,92.38,92.3,91.88,90.1,99.0,71.45,84.06,83.87,83.98,79.28,90.95,88.78,87.72,89.74,91.64,98.88,70.89,78.09,59.4,61.17,79.82,91.09,88.95,90.53,88.81,91.89,100.0,79.4,90.99,88.45,91.86,91.8,91.88,99.19
s01-h2_block6_173956_177194_F,99.5,82.4,85.56,82.94,82.96,83.23,85.85,79.77,99.5,82.4,85.56,82.94,82.96,83.23,85.85,79.77,83.44,72.51,69.91,64.27,99.67,82.38,85.62,86.62,83.0,83.1,78.8,83.19,67.46,50.6,52.41,99.38,82.56,85.33,84.52,84.94,83.21,79.4,100.0,82.52,85.33,83.17,83.19,83.23,79.34
s01-h2_block6_219147_222267_F,82.35,99.88,91.78,97.55,97.67,98.17,92.11,91.36,82.35,99.88,91.78,97.55,97.67,98.17,92.11,91.36,73.64,85.95,82.92,75.74,82.58,99.77,92.16,94.3,88.45,98.32,90.49,74.22,81.36,67.67,68.16,82.29,99.87,91.45,97.04,91.09,98.09,90.99,82.52,100.0,91.72,98.07,98.17,98.17,91.68
s01-h2_block6_243646_246515_F,85.14,91.61,99.17,91.95,91.89,92.32,97.81,89.26,85.14,91.61,99.17,91.95,91.89,92.32,97.81,89.26,69.16,84.15,80.36,73.62,85.16,91.59,99.56,96.53,96.48,92.2,87.54,69.37,78.38,59.78,61.61,85.21,91.78,99.31,93.65,98.98,92.38,88.45,85.33,91.72,100.0,92.36,92.3,92.32,88.08
s01-h2_block6_288134_291265_F,83.0,98.19,92.47,99.48,99.29,99.71,92.8,92.3,83.0,98.19,92.47,99.48,99.29,99.71,92.8,92.3,74.53,86.91,83.89,76.67,83.04,98.04,92.74,95.57,89.18,99.63,91.32,74.82,82.13,66.37,68.64,82.9,98.13,92.14,98.42,91.74,99.6,91.86,83.17,98.07,92.36,100.0,99.79,99.71,92.09
s01-h2_block6_322415_325546_F,83.04,98.29,92.43,99.31,99.5,99.92,92.76,92.2,83.04,98.29,92.43,99.31,99.5,99.92,92.76,92.2,74.57,86.85,83.79,76.57,83.06,98.13,92.66,95.69,89.1,99.73,91.3,74.84,82.04,66.46,68.5,82.92,98.23,92.11,98.63,91.7,99.81,91.8,83.19,98.17,92.3,99.79,100.0,99.92,92.22
s01-h2_block6_346265_349395_F,83.12,98.29,92.47,99.27,99.46,100.0,92.84,92.24,83.12,98.29,92.47,99.27,99.46,100.0,92.84,92.24,74.64,86.89,83.87,76.61,83.1,98.13,92.66,95.65,89.14,99.65,91.37,74.8,82.08,66.46,68.46,83.0,98.23,92.14,98.59,91.74,99.88,91.88,83.23,98.17,92.32,99.71,99.92,100.0,92.3
s01-h2_block6_370520_373363_F,79.84,91.8,88.91,92.61,92.72,92.3,89.89,98.58,79.84,91.8,88.91,92.61,92.72,92.3,89.89,98.58,71.37,83.67,83.63,83.33,79.23,91.64,88.41,88.12,89.37,92.22,98.61,70.81,77.9,59.97,61.24,79.77,91.62,88.54,90.95,88.41,92.32,99.19,79.34,91.68,88.08,92.09,92.22,92.3,100.0
