,s04-h1_block2_16631_19943_F,s04-h1_block2_165422_168667_F,s04-h1_block2_201366_204480_F,s04-h1_block2_421279_424187_F,s04-h1_block2_452807_455696_F,s04-h1_block2_476945_479833_F,s03-h1_block2_16631_19521_F,s03-h1_block2_165050_167910_F,s03-h1_block2_182994_185666_F,s03-h1_block2_403235_405878_F,s03-h1_block2_428045_430513_F,s03-h1_block2_462569_465330_F,s03-h1_block2_486649_489092_F,s03-h1_block2_510690_513394_F,s03-h1_block2_534540_537060_F,s03-h2_block2_16442_19230_F,s03-h2_block2_166668_169532_F,s03-h2_block2_211646_214137_F,s03-h2_block2_431830_434264_F,s03-h2_block2_456612_458955_F,s03-h2_block2_501596_504347_F,s03-h2_block2_535877_538637_F,s03-h2_block2_559724_562488_F,s03-h2_block2_583731_586096_F,s03-h2_block2_607818_610341_F,s04-h2_block2_16632_19521_F,s04-h2_block2_165253_168116_F,s04-h2_block2_192187_194880_F,s04-h2_block2_412271_414914_F,s04-h2_block2_437062_439534_F,s04-h2_block2_471568_474327_F,s04-h2_block2_495715_498080_F,s04-h2_block2_530115_532652_F,s04-h2_block2_553965_556420_F,s01-h1_block2_16736_19525_F,s01-h1_block2_167378_170242_F,s01-h1_block2_212356_214847_F,s01-h1_block2_432540_434974_F,s01-h1_block2_457322_459665_F,s01-h1_block2_502306_505057_F,s01-h1_block2_536587_539347_F,s01-h1_block2_560434_563198_F,s01-h1_block2_584441_586806_F,s01-h1_block2_608528_611051_F,s01-h2_block2_16736_19524_F,s01-h2_block2_166970_169834_F,s01-h2_block2_211942_214453_F,s01-h2_block2_236838_239156_F,s01-h2_block2_281797_284548_F,s01-h2_block2_316078_318838_F,s01-h2_block2_339925_342689_F,s01-h2_block2_363774_366297_F,s02-h1_block2_16152_19656_F,s02-h1_block2_179716_182964_F,s02-h1_block2_209384_212564_F,s02-h1_block2_336053_339185_F,s02-h2_block2_14586_19235_F,s02-h2_block2_205444_209711_F,s02-h2_block2_332135_336354_F,s02-h2_block2_356727_361056_F,s04-h1_block16_431228_436278_F,s04-h1_block16_462806_467865_F,s04-h1_block16_486826_491841_F
s03-h1_block2_428045_430513_F,81.04,81.08,83.75,89.67,92.88,93.09,87.78,86.59,90.88,94.86,100.0,94.58,99.38,95.46,94.19,86.77,87.17,90.5,94.45,97.12,94.72,94.54,94.51,96.77,94.3,87.79,87.19,90.55,94.83,99.58,94.58,98.1,94.14,93.25,86.72,87.17,90.5,94.45,97.12,94.72,94.54,94.51,96.77,94.3,86.77,87.17,92.83,97.36,94.72,94.54,94.51,94.24,78.12,80.74,82.71,87.14,59.8,65.29,69.54,69.51,45.93,45.42,41.93
s03-h1_block2_462569_465330_F,80.02,83.65,87.41,88.13,93.87,97.22,86.79,89.07,93.04,95.79,94.58,100.0,94.14,98.93,95.46,85.15,89.12,90.61,92.58,92.74,99.76,99.94,99.9,93.11,95.5,86.77,89.19,93.36,95.82,94.69,99.92,92.99,96.3,94.58,85.14,89.12,90.61,92.58,92.74,99.76,99.94,99.9,93.11,95.5,85.15,89.12,93.67,92.35,99.76,99.94,99.9,95.5,82.15,83.43,86.37,91.39,63.83,68.07,73.65,74.37,47.37,46.87,42.14
s03-h1_block2_486649_489092_F,80.63,80.77,83.33,90.16,92.45,92.67,87.36,86.29,90.48,94.48,99.38,94.14,100.0,95.02,93.71,87.25,86.87,90.02,93.95,96.62,94.29,94.11,94.08,96.29,93.81,87.38,86.88,90.13,94.45,99.14,94.14,98.54,93.63,92.74,87.2,86.87,90.02,93.95,96.62,94.29,94.11,94.08,96.29,93.81,87.25,86.87,92.34,97.02,94.29,94.11,94.08,93.76,77.7,80.44,82.29,86.75,59.38,64.87,69.16,69.08,45.53,45.05,41.59
s03-h1_block2_510690_513394_F,79.09,82.87,86.63,87.14,92.8,96.18,85.86,88.39,93.01,94.98,95.46,98.93,95.02,100.0,96.46,84.23,88.96,91.52,93.49,93.62,99.07,98.96,98.99,93.98,96.51,85.84,88.98,93.39,94.96,95.57,98.91,93.87,97.25,95.5,84.21,88.96,91.52,93.49,93.62,99.07,98.96,98.99,93.98,96.51,84.23,88.96,94.58,93.23,99.07,98.96,98.99,96.51,81.36,82.58,85.71,90.4,63.05,68.29,72.9,73.49,47.1,46.62,43.13
s03-h1_block2_534540_537060_F,76.53,80.29,84.11,84.27,90.45,93.78,83.3,85.81,90.48,92.11,94.19,95.46,93.71,96.46,100.0,81.73,86.39,93.39,95.49,96.85,95.6,95.42,95.49,97.42,99.73,83.28,86.4,90.87,92.08,94.21,95.41,92.64,98.94,98.86,81.65,86.39,93.39,95.49,96.85,95.6,95.42,95.49,97.42,99.73,81.73,86.39,96.96,96.48,95.6,95.42,95.49,99.95,78.82,79.97,83.19,87.54,60.5,65.77,70.05,70.4,47.83,47.42,46.12
s03-h2_block2_16442_19230_F,91.31,75.41,78.53,82.64,82.95,83.04,98.05,80.87,84.93,86.71,86.77,85.15,87.25,84.23,81.73,100.0,80.9,82.55,83.87,84.67,84.99,85.14,85.11,84.31,81.78,98.08,80.95,84.48,86.75,86.79,85.2,87.78,82.05,80.93,99.58,80.9,82.55,83.87,84.67,84.99,85.14,85.11,84.31,81.78,100.0,80.9,82.27,85.07,84.99,85.14,85.11,81.78,87.95,75.22,77.44,79.11,69.65,59.19,61.53,59.83,39.77,39.48,34.83
s03-h2_block2_166668_169532_F,75.43,93.81,81.35,81.36,84.71,87.03,82.18,99.34,87.52,88.43,87.17,89.12,86.87,88.96,86.39,80.9,100.0,85.25,85.97,85.41,89.28,89.14,89.12,85.62,86.37,82.18,99.89,87.67,88.39,87.25,89.14,85.86,86.55,85.52,80.87,100.0,85.25,85.97,85.41,89.28,89.14,89.12,85.62,86.37,80.9,100.0,86.23,85.17,89.28,89.14,89.12,86.43,76.29,93.14,81.65,82.74,60.6,65.21,67.97,66.73,48.7,48.04,44.02
s03-h2_block2_211646_214137_F,77.41,79.16,89.94,82.63,86.18,88.5,84.18,84.64,97.06,90.51,90.5,90.61,90.02,91.52,93.39,82.55,85.25,100.0,93.68,92.1,90.75,90.61,90.55,92.39,93.41,84.16,85.27,96.75,90.43,90.4,90.63,89.03,93.73,92.67,82.48,85.25,100.0,93.68,92.1,90.75,90.61,90.55,92.39,93.41,82.55,85.25,94.42,91.73,90.75,90.61,90.55,93.44,78.85,78.87,88.66,85.09,60.53,71.3,67.59,65.46,47.64,47.06,45.02
s03-h2_block2_431830_434264_F,78.8,79.88,83.65,88.45,90.4,90.43,85.57,85.36,90.77,96.56,94.45,92.58,93.95,93.49,95.49,83.87,85.97,93.68,100.0,96.37,92.75,92.58,92.55,96.67,95.5,85.55,85.99,90.43,96.51,94.5,92.59,92.87,95.89,94.59,83.81,85.97,93.68,100.0,96.37,92.75,92.58,92.55,96.67,95.5,83.87,85.97,98.38,95.98,92.75,92.58,92.55,95.54,77.8,79.78,82.66,88.48,59.48,65.24,71.06,67.33,47.24,46.7,44.68
s03-h2_block2_456612_458955_F,79.48,79.32,82.07,87.22,90.98,91.11,86.24,84.83,89.19,92.99,97.12,92.74,96.62,93.62,96.85,84.67,85.41,92.1,96.37,100.0,92.88,92.71,92.67,99.42,96.96,86.23,85.43,88.85,92.99,97.3,92.72,95.41,96.26,95.9,84.59,85.41,92.1,96.37,100.0,92.88,92.71,92.67,99.42,96.96,84.67,85.41,95.14,99.6,92.88,92.71,92.67,96.9,76.48,78.96,81.01,85.27,58.17,63.59,67.69,67.51,46.33,45.86,44.46
s03-h2_block2_501596_504347_F,79.86,83.51,87.23,88.0,93.7,97.04,86.63,89.09,93.19,95.84,94.72,99.76,94.29,99.07,95.6,84.99,89.28,90.75,92.75,92.88,100.0,99.82,99.76,93.25,95.65,86.61,89.35,93.51,95.82,94.8,99.74,93.11,96.48,94.7,84.98,89.28,90.75,92.75,92.88,100.0,99.82,99.76,93.25,95.65,84.99,89.28,93.84,92.5,100.0,99.82,99.76,95.65,82.0,83.28,86.19,91.27,63.69,68.21,73.65,74.26,47.19,46.7,42.28
s03-h2_block2_535877_538637_F,80.0,83.63,87.38,88.1,93.81,97.15,86.77,89.09,93.04,95.79,94.54,99.94,94.11,98.96,95.42,85.14,89.14,90.61,92.58,92.71,99.82,100.0,99.9,93.07,95.47,86.75,89.2,93.36,95.82,94.66,99.92,92.96,96.34,94.56,85.12,89.14,90.61,92.58,92.71,99.82,100.0,99.9,93.07,95.47,85.14,89.14,93.67,92.32,99.82,100.0,99.9,95.47,82.13,83.41,86.34,91.36,63.81,68.07,73.65,74.37,47.32,46.82,42.14
s03-h2_block2_559724_562488_F,79.97,83.65,87.35,88.1,93.81,97.18,86.74,89.07,92.98,95.76,94.51,99.9,94.08,98.99,95.49,85.11,89.12,90.55,92.55,92.67,99.76,99.9,100.0,93.04,95.54,86.72,89.19,93.3,95.79,94.62,99.89,92.93,96.3,94.56,85.09,89.12,90.55,92.55,92.67,99.76,99.9,100.0,93.04,95.54,85.11,89.12,93.63,92.29,99.76,99.9,100.0,95.54,82.19,83.43,86.4,91.39,63.88,68.1,73.72,74.47,47.34,46.84,42.12
s03-h2_block2_583731_586096_F,79.11,79.52,82.35,86.85,91.46,91.39,85.87,85.04,89.47,93.33,96.77,93.11,96.29,93.98,97.42,84.31,85.62,92.39,96.67,99.42,93.25,93.07,93.04,100.0,97.25,85.86,85.63,89.14,93.3,96.78,93.12,95.22,96.62,96.38,84.23,85.62,92.39,96.67,99.42,93.25,93.07,93.04,100.0,97.25,84.31,85.62,95.44,99.06,93.25,93.07,93.04,97.47,76.71,79.19,81.3,85.6,58.39,63.88,68.02,67.93,46.5,46.12,44.71
s03-h2_block2_607818_610341_F,76.55,80.28,84.13,84.31,90.37,94.05,83.31,85.79,90.5,92.13,94.3,95.5,93.81,96.51,99.73,81.78,86.37,93.41,95.5,96.96,95.65,95.47,95.54,97.25,100.0,83.3,86.39,90.88,92.1,94.32,95.42,92.56,98.99,98.69,81.7,86.37,93.41,95.5,96.96,95.65,95.47,95.54,97.25,100.0,81.78,86.37,96.98,96.56,95.65,95.47,95.54,99.78,78.84,79.96,83.2,87.55,60.52,65.78,70.07,70.39,47.86,47.4,46.04
s04-h2_block2_16632_19521_F,93.2,76.69,80.15,82.8,84.55,84.59,99.97,82.15,86.56,88.42,87.79,86.77,87.38,85.84,83.28,98.08,82.18,84.16,85.55,86.23,86.61,86.75,86.72,85.86,83.3,100.0,82.23,86.11,88.47,87.89,86.8,86.23,83.63,82.5,97.89,82.18,84.16,85.55,86.23,86.61,86.75,86.72,85.86,83.3,98.08,82.18,83.95,85.89,86.61,86.75,86.72,83.33,89.81,76.5,79.09,80.82,71.51,60.84,63.24,61.41,41.02,40.52,35.8
s04-h2_block2_165253_168116_F,75.48,93.87,81.39,81.41,84.77,87.09,82.23,99.31,87.57,88.48,87.19,89.19,86.88,88.98,86.4,80.95,99.89,85.27,85.99,85.43,89.35,89.2,89.19,85.63,86.39,82.23,100.0,87.71,88.43,87.27,89.2,85.87,86.56,85.54,80.92,99.89,85.27,85.99,85.43,89.35,89.2,89.19,85.63,86.39,80.95,99.89,86.24,85.19,89.35,89.2,89.19,86.45,76.34,93.2,81.7,82.8,60.57,65.17,67.94,66.71,48.68,48.02,43.98
s04-h2_block2_192187_194880_F,79.36,81.67,93.14,84.61,88.16,91.17,86.13,87.22,99.5,92.5,90.55,93.36,90.13,93.39,90.87,84.48,87.67,96.75,90.43,88.85,93.51,93.36,93.3,89.14,90.88,86.11,87.71,100.0,92.42,90.51,93.35,89.12,91.2,90.15,84.43,87.67,96.75,90.43,88.85,93.51,93.36,93.3,89.14,90.88,84.48,87.67,91.6,88.48,93.51,93.36,93.3,90.91,81.51,81.44,91.87,87.81,63.19,74.45,70.32,68.21,46.55,45.96,42.28
s04-h2_block2_412271_414914_F,81.71,82.74,86.27,91.94,93.63,93.68,88.48,88.26,92.82,99.86,94.83,95.82,94.45,94.96,92.08,86.75,88.39,90.43,96.51,92.99,95.82,95.82,95.79,93.3,92.1,88.47,88.43,92.42,100.0,94.96,95.84,93.27,92.48,91.19,86.72,88.39,90.43,96.51,92.99,95.82,95.82,95.79,93.3,92.1,86.75,88.39,94.9,92.61,95.82,95.82,95.79,92.13,80.61,82.71,85.3,91.76,62.29,67.16,74.37,70.58,46.38,45.83,41.29
s04-h2_block2_437062_439534_F,81.14,81.16,83.71,89.71,92.95,93.09,87.87,86.67,90.85,94.96,99.58,94.69,99.14,95.57,94.21,86.79,87.25,90.4,94.5,97.3,94.8,94.66,94.62,96.78,94.32,87.89,87.27,90.51,94.96,100.0,94.69,97.92,94.18,93.31,86.74,87.25,90.4,94.5,97.3,94.8,94.66,94.62,96.78,94.32,86.79,87.25,92.88,97.44,94.8,94.66,94.62,94.26,78.1,80.8,82.67,87.2,59.78,65.25,69.64,69.44,45.94,45.43,41.95
s04-h2_block2_471568_474327_F,80.05,83.67,87.36,88.16,93.89,97.14,86.82,89.09,93.06,95.81,94.58,99.92,94.14,98.91,95.41,85.2,89.14,90.63,92.59,92.72,99.74,99.92,99.89,93.12,95.42,86.8,89.2,93.35,95.84,94.69,100.0,92.99,96.32,94.54,85.19,89.14,90.63,92.59,92.72,99.74,99.92,99.89,93.12,95.42,85.2,89.14,93.68,92.35,99.74,99.92,99.89,95.46,82.15,83.44,86.32,91.35,63.83,68.02,73.6,74.39,47.32,46.82,42.11
s04-h2_block2_495715_498080_F,79.48,79.76,82.34,89.04,91.36,91.3,86.21,85.28,89.46,93.3,98.1,92.99,98.54,93.87,92.64,87.78,85.86,89.03,92.87,95.41,93.11,92.96,92.93,95.22,92.56,86.23,85.87,89.12,93.27,97.92,92.99,100.0,92.45,91.65,87.83,85.86,89.03,92.87,95.41,93.11,92.96,92.93,95.22,92.56,87.78,85.86,91.25,95.81,93.11,92.96,92.93,92.69,76.55,79.43,81.27,85.57,58.23,63.85,67.97,67.94,44.62,44.38,40.92
s04-h2_block2_530115_532652_F,76.88,80.45,84.42,84.66,90.29,93.68,83.65,85.97,90.82,92.5,94.14,96.3,93.63,97.25,98.94,82.05,86.55,93.73,95.89,96.26,96.48,96.34,96.3,96.62,98.99,83.63,86.56,91.2,92.48,94.18,96.32,92.45,100.0,98.08,82.0,86.55,93.73,95.89,96.26,96.48,96.34,96.3,96.62,98.99,82.05,86.55,97.2,95.87,96.48,96.34,96.3,98.99,79.03,80.16,83.36,87.89,60.71,65.94,70.28,70.77,47.91,47.42,45.61
s04-h2_block2_553965_556420_F,75.75,79.43,83.41,83.38,89.54,92.87,82.51,84.95,89.76,91.22,93.25,94.58,92.74,95.5,98.86,80.93,85.52,92.67,94.59,95.9,94.7,94.56,94.56,96.38,98.69,82.5,85.54,90.15,91.19,93.31,94.54,91.65,98.08,100.0,80.85,85.52,92.67,94.59,95.9,94.7,94.56,94.56,96.38,98.69,80.93,85.52,96.06,95.54,94.7,94.56,94.56,98.82,77.94,79.14,82.39,86.64,59.62,64.97,69.06,69.51,47.08,46.6,47.03
s01-h1_block2_16736_19525_F,91.15,75.38,78.48,82.61,82.9,82.99,97.86,80.84,84.88,86.67,86.72,85.14,87.2,84.21,81.65,99.58,80.87,82.48,83.81,84.59,84.98,85.12,85.09,84.23,81.7,97.89,80.92,84.43,86.72,86.74,85.19,87.83,82.0,80.85,100.0,80.87,82.48,83.81,84.59,84.98,85.12,85.09,84.23,81.7,99.58,80.87,82.21,84.99,84.98,85.12,85.09,81.7,87.76,75.19,77.4,79.08,69.46,59.14,61.49,59.81,39.71,39.42,34.75
s01-h1_block2_167378_170242_F,75.43,93.81,81.35,81.36,84.71,87.03,82.18,99.34,87.52,88.43,87.17,89.12,86.87,88.96,86.39,80.9,100.0,85.25,85.97,85.41,89.28,89.14,89.12,85.62,86.37,82.18,99.89,87.67,88.39,87.25,89.14,85.86,86.55,85.52,80.87,100.0,85.25,85.97,85.41,89.28,89.14,89.12,85.62,86.37,80.9,100.0,86.23,85.17,89.28,89.14,89.12,86.43,76.29,93.14,81.65,82.74,60.6,65.21,67.97,66.73,48.7,48.04,44.02
s01-h1_block2_212356_214847_F,77.41,79.16,89.94,82.63,86.18,88.5,84.18,84.64,97.06,90.51,90.5,90.61,90.02,91.52,93.39,82.55,85.25,100.0,93.68,92.1,90.75,90.61,90.55,92.39,93.41,84.16,85.27,96.75,90.43,90.4,90.63,89.03,93.73,92.67,82.48,85.25,100.0,93.68,92.1,90.75,90.61,90.55,92.39,93.41,82.55,85.25,94.42,91.73,90.75,90.61,90.55,93.44,78.85,78.87,88.66,85.09,60.53,71.3,67.59,65.46,47.64,47.06,45.02
s01-h1_block2_432540_434974_F,78.8,79.88,83.65,88.45,90.4,90.43,85.57,85.36,90.77,96.56,94.45,92.58,93.95,93.49,95.49,83.87,85.97,93.68,100.0,96.37,92.75,92.58,92.55,96.67,95.5,85.55,85.99,90.43,96.51,94.5,92.59,92.87,95.89,94.59,83.81,85.97,93.68,100.0,96.37,92.75,92.58,92.55,96.67,95.5,83.87,85.97,98.38,95.98,92.75,92.58,92.55,95.54,77.8,79.78,82.66,88.48,59.48,65.24,71.06,67.33,47.24,46.7,44.68
s01-h1_block2_457322_459665_F,79.48,79.32,82.07,87.22,90.98,91.11,86.24,84.83,89.19,92.99,97.12,92.74,96.62,93.62,96.85,84.67,85.41,92.1,96.37,100.0,92.88,92.71,92.67,99.42,96.96,86.23,85.43,88.85,92.99,97.3,92.72,95.41,96.26,95.9,84.59,85.41,92.1,96.37,100.0,92.88,92.71,92.67,99.42,96.96,84.67,85.41,95.14,99.6,92.88,92.71,92.67,96.9,76.48,78.96,81.01,85.27,58.17,63.59,67.69,67.51,46.33,45.86,44.46
s01-h1_block2_502306_505057_F,79.86,83.51,87.23,88.0,93.7,97.04,86.63,89.09,93.19,95.84,94.72,99.76,94.29,99.07,95.6,84.99,89.28,90.75,92.75,92.88,100.0,99.82,99.76,93.25,95.65,86.61,89.35,93.51,95.82,94.8,99.74,93.11,96.48,94.7,84.98,89.28,90.75,92.75,92.88,100.0,99.82,99.76,93.25,95.65,84.99,89.28,93.84,92.5,100.0,99.82,99.76,95.65,82.0,83.28,86.19,91.27,63.69,68.21,73.65,74.26,47.19,46.7,42.28
s01-h1_block2_536587_539347_F,80.0,83.63,87.38,88.1,93.81,97.15,86.77,89.09,93.04,95.79,94.54,99.94,94.11,98.96,95.42,85.14,89.14,90.61,92.58,92.71,99.82,100.0,99.9,93.07,95.47,86.75,89.2,93.36,95.82,94.66,99.92,92.96,96.34,94.56,85.12,89.14,90.61,92.58,92.71,99.82,100.0,99.9,93.07,95.47,85.14,89.14,93.67,92.32,99.82,100.0,99.9,95.47,82.13,83.41,86.34,91.36,63.81,68.07,73.65,74.37,47.32,46.82,42.14
s01-h1_block2_560434_563198_F,79.97,83.65,87.35,88.1,93.81,97.18,86.74,89.07,92.98,95.76,94.51,99.9,94.08,98.99,95.49,85.11,89.12,90.55,92.55,92.67,99.76,99.9,100.0,93.04,95.54,86.72,89.19,93.3,95.79,94.62,99.89,92.93,96.3,94.56,85.09,89.12,90.55,92.55,92.67,99.76,99.9,100.0,93.04,95.54,85.11,89.12,93.63,92.29,99.76,99.9,100.0,95.54,82.19,83.43,86.4,91.39,63.88,68.1,73.72,74.47,47.34,46.84,42.12
s01-h1_block2_584441_586806_F,79.11,79.52,82.35,86.85,91.46,91.39,85.87,85.04,89.47,93.33,96.77,93.11,96.29,93.98,97.42,84.31,85.62,92.39,96.67,99.42,93.25,93.07,93.04,100.0,97.25,85.86,85.63,89.14,93.3,96.78,93.12,95.22,96.62,96.38,84.23,85.62,92.39,96.67,99.42,93.25,93.07,93.04,100.0,97.25,84.31,85.62,95.44,99.06,93.25,93.07,93.04,97.47,76.71,79.19,81.3,85.6,58.39,63.88,68.02,67.93,46.5,46.12,44.71
s01-h1_block2_608528_611051_F,76.55,80.28,84.13,84.31,90.37,94.05,83.31,85.79,90.5,92.13,94.3,95.5,93.81,96.51,99.73,81.78,86.37,93.41,95.5,96.96,95.65,95.47,95.54,97.25,100.0,83.3,86.39,90.88,92.1,94.32,95.42,92.56,98.99,98.69,81.7,86.37,93.41,95.5,96.96,95.65,95.47,95.54,97.25,100.0,81.78,86.37,96.98,96.56,95.65,95.47,95.54,99.78,78.84,79.96,83.2,87.55,60.52,65.78,70.07,70.39,47.86,47.4,46.04
