,s16-h2_block21_510725_514752_F,s16-h2_block21_604112_608156_F,s09-h2_block2_62503_71635_F,s09-h2_block2_316171_325846_F,s12-h1_block14_422620_431476_F,s12-h1_block14_515896_524814_F,s17-h2_block10_321211_328497_F,s17-h2_block10_414563_421818_F,s16-h2_block7_211084_220213_F,s16-h2_block7_500988_510665_F,s16-h2_block7_594333_604052_F,s15-h2_block2_37244_44640_F,s15-h2_block2_561080_568844_F,s04-h2_block5_114063_123192_F,s04-h2_block5_417854_427642_F,s03-h1_block8_312321_321998_F,s03-h1_block8_578870_587999_F,s07-h2_block6_150969_159887_F,s07-h2_block6_244309_253165_F,s11-h1_block6_195070_204115_F,s11-h1_block6_573901_583475_F,s18-h1_block10_311568_321238_F,s18-h1_block10_627921_637060_F,s17-h2_block8_307373_311415_F,s17-h2_block8_400786_404810_F,s01-h1_block13_318432_326199_F,s01-h1_block13_865798_873198_F,s16-h2_block20_493707_500972_F,s16-h2_block20_587021_594317_F,s12-h1_block7_223041_232170_F,s12-h1_block7_502140_511807_F,s17-h2_block9_311477_321190_F,s17-h2_block9_404872_414543_F,s17-h2_block9_696328_705453_F,s07-h2_block7_164069_173643_F,s07-h2_block7_447661_456706_F,s19-h2_block9_313123_322798_F,s19-h2_block9_569132_578261_F,s08-h2_block7_219297_228429_F,s08-h2_block7_498541_508335_F,s14-h2_block13_317722_325489_F,s14-h2_block13_865021_872422_F,s17-h1_block7_246638_255777_F,s17-h1_block7_562458_572128_F,s15-h1_block2_149818_157218_F,s15-h1_block2_569179_576946_F,s10-h2_block7_220162_229292_F,s10-h2_block7_499642_509310_F
s16-h2_block7_594333_604052_F,28.13,28.09,79.82,97.8,28.58,28.54,24.96,25.05,79.87,97.77,100.0,67.82,81.92,79.8,99.2,35.28,33.43,28.55,28.26,80.06,98.01,35.35,33.56,21.84,21.67,30.87,29.9,25.8,25.79,79.77,97.81,35.99,35.32,33.46,36.07,34.26,35.34,33.46,79.75,99.16,30.87,29.91,79.85,97.81,67.86,81.9,79.76,97.78
s15-h2_block2_37244_44640_F,45.79,45.75,80.69,67.45,28.88,28.67,37.75,37.79,80.6,67.46,67.82,100.0,85.27,80.64,67.39,30.99,29.81,27.95,28.24,81.47,68.21,31.08,29.86,32.43,33.06,27.04,26.64,36.67,36.56,80.64,67.39,31.96,31.13,29.84,31.71,30.44,31.08,29.85,80.53,67.34,27.04,26.62,80.63,67.52,99.9,85.25,80.64,67.39
s15-h2_block2_561080_568844_F,45.21,45.18,70.5,80.39,28.37,28.26,37.46,37.52,70.56,80.48,81.92,85.27,100.0,70.48,81.54,30.42,29.66,27.87,28.23,71.26,81.06,30.5,29.78,29.84,30.4,25.85,25.95,36.87,36.74,70.45,80.25,31.14,30.47,29.72,31.05,30.33,30.49,29.74,70.45,81.6,25.85,25.94,70.52,80.47,85.31,99.93,70.45,80.24
s04-h2_block5_114063_123192_F,30.6,30.56,99.9,80.63,28.16,28.02,24.68,24.71,99.53,80.66,79.8,80.64,70.48,100.0,80.35,34.68,32.41,27.88,27.55,99.13,79.83,34.78,32.49,26.06,26.0,30.67,29.25,25.42,25.45,99.87,80.61,35.37,34.8,32.41,35.39,33.08,34.76,32.44,99.34,80.32,30.67,29.24,99.65,80.64,80.66,70.45,99.86,80.61
s04-h2_block5_417854_427642_F,27.53,27.49,80.36,98.49,28.09,28.05,24.36,24.42,80.43,98.36,99.2,67.39,81.54,80.35,100.0,35.06,33.2,28.09,27.81,79.62,97.66,35.13,33.33,21.21,21.04,30.49,29.53,25.21,25.2,80.31,98.48,35.53,35.09,33.24,35.68,33.88,35.11,33.23,80.29,99.72,30.49,29.54,80.38,98.48,67.43,81.52,80.3,98.44
s03-h1_block8_312321_321998_F,20.83,20.88,34.69,35.1,30.35,30.35,26.05,25.91,34.6,35.08,35.28,30.99,30.42,34.68,35.06,100.0,80.5,29.76,29.09,35.03,35.47,99.7,80.47,27.45,27.41,80.28,67.17,26.19,26.32,34.65,35.08,97.76,99.62,80.46,98.92,79.73,99.73,80.42,34.57,35.09,80.28,67.14,34.64,35.1,30.99,30.43,34.64,35.11
s03-h1_block8_578870_587999_F,25.76,25.8,32.41,33.02,29.16,29.17,26.62,26.47,32.33,33.04,33.43,29.81,29.66,32.41,33.2,80.5,100.0,28.52,27.8,32.71,33.43,80.44,99.55,30.84,30.8,70.54,80.62,27.86,27.93,32.36,33.07,79.77,80.36,99.54,79.61,98.8,80.41,99.54,32.25,33.26,70.54,80.63,32.32,33.02,29.81,29.67,32.35,33.07
s07-h2_block6_150969_159887_F,23.64,23.75,27.9,27.95,41.01,40.8,35.65,35.62,27.88,27.92,28.55,27.95,27.87,27.88,28.09,29.76,28.52,100.0,95.49,28.67,28.73,29.78,28.66,23.76,24.32,28.07,27.17,35.25,35.38,27.87,27.92,30.67,29.81,28.55,30.28,29.15,29.75,28.55,27.89,28.1,28.07,27.17,27.95,27.97,27.95,27.84,27.87,27.92
s07-h2_block6_244309_253165_F,24.13,24.23,27.57,27.65,41.03,40.81,36.11,36.08,27.53,27.63,28.26,28.24,28.23,27.55,27.81,29.09,27.8,95.49,100.0,28.34,28.44,29.11,27.94,24.18,24.73,27.42,26.47,35.48,35.61,27.53,27.62,30.01,29.13,27.82,29.63,28.44,29.07,27.83,27.57,27.82,27.42,26.47,27.61,27.67,28.22,28.21,27.53,27.61
s11-h1_block6_195070_204115_F,31.35,31.31,99.19,79.9,28.93,28.82,25.49,25.51,98.78,79.94,80.06,81.47,71.26,99.13,79.62,35.03,32.71,28.67,28.34,100.0,80.61,35.13,32.8,26.64,26.76,31.02,29.53,26.18,26.21,99.14,79.88,35.97,35.15,32.72,35.74,33.39,35.11,32.75,98.59,79.59,31.02,29.52,98.94,79.92,81.48,71.22,99.13,79.88
s11-h1_block6_573901_583475_F,27.95,27.93,79.85,98.88,28.93,28.89,25.2,25.29,79.9,98.85,98.01,68.21,81.06,79.83,97.66,35.47,33.43,28.73,28.44,80.61,100.0,35.53,33.52,21.51,21.54,30.91,29.76,25.86,25.86,79.8,99.19,36.18,35.49,33.46,36.08,34.13,35.51,33.48,79.78,97.63,30.91,29.75,79.87,98.85,68.24,81.05,79.8,99.12
s18-h1_block10_311568_321238_F,20.86,20.9,34.79,35.16,30.39,30.39,26.1,25.96,34.7,35.14,35.35,31.08,30.5,34.78,35.13,99.7,80.44,29.78,29.11,35.13,35.53,100.0,80.41,27.5,27.46,80.43,67.17,26.22,26.35,34.74,35.14,97.74,99.69,80.39,98.87,79.66,99.83,80.35,34.66,35.16,80.43,67.15,34.73,35.16,31.08,30.51,34.73,35.17
s18-h1_block10_627921_637060_F,25.73,25.79,32.5,33.11,29.24,29.25,26.66,26.5,32.41,33.12,33.56,29.86,29.78,32.49,33.33,80.47,99.55,28.66,27.94,32.8,33.52,80.41,100.0,30.88,30.84,70.51,80.64,27.92,28.0,32.45,33.16,79.74,80.33,99.41,79.59,98.92,80.37,99.63,32.34,33.39,70.51,80.66,32.41,33.11,29.86,29.79,32.44,33.16
s17-h2_block8_307373_311415_F,58.8,58.65,26.06,20.86,26.38,26.06,31.3,31.37,26.02,20.84,21.84,32.43,29.84,26.06,21.21,27.45,30.84,23.76,24.18,26.64,21.51,27.5,30.88,100.0,99.07,45.53,46.05,32.7,32.62,26.08,20.9,28.47,27.51,30.83,28.34,31.55,27.47,30.82,26.01,21.18,45.53,46.05,26.08,20.91,32.39,29.81,26.08,20.88
s17-h2_block8_400786_404810_F,58.96,58.81,26.0,20.69,26.84,26.52,31.79,31.82,25.97,20.68,21.67,33.06,30.4,26.0,21.04,27.41,30.8,24.32,24.73,26.76,21.54,27.46,30.84,99.07,100.0,45.47,46.02,33.03,32.96,26.02,20.73,28.42,27.47,30.8,28.3,31.51,27.44,30.78,25.96,21.02,45.47,46.02,26.02,20.75,33.02,30.37,26.02,20.71
s01-h1_block13_318432_326199_F,30.43,29.84,30.67,30.53,28.12,27.7,25.05,25.13,30.6,30.51,30.87,27.04,25.85,30.67,30.49,80.28,70.54,28.07,27.42,31.02,30.91,80.43,70.51,45.53,45.47,100.0,85.15,27.42,27.42,30.67,30.53,81.96,80.36,70.48,81.03,71.25,80.36,70.45,30.63,30.53,100.0,85.12,30.7,30.52,26.99,25.86,30.67,30.55
s01-h1_block13_865798_873198_F,32.98,32.41,29.23,29.33,27.07,26.57,25.39,25.52,29.18,29.34,29.9,26.64,25.95,29.25,29.53,67.17,80.62,27.17,26.47,29.53,29.76,67.17,80.64,46.05,46.02,85.15,100.0,28.83,28.79,29.22,29.4,67.65,67.05,80.51,67.86,81.47,67.1,80.65,29.11,29.57,85.15,99.9,29.17,29.34,26.61,25.95,29.21,29.41
s16-h2_block20_493707_500972_F,37.51,37.19,25.41,25.02,40.48,40.17,48.46,48.58,25.39,25.02,25.8,36.67,36.87,25.42,25.21,26.19,27.86,35.25,35.48,26.18,25.86,26.22,27.92,32.7,33.03,27.42,28.83,100.0,99.26,25.39,25.05,26.67,26.25,27.9,27.03,28.66,26.18,27.91,25.38,25.07,27.42,28.84,25.36,25.05,36.69,36.84,25.38,25.03
s16-h2_block20_587021_594317_F,37.29,36.97,25.44,25.02,40.55,40.26,48.46,48.59,25.43,25.02,25.79,36.56,36.74,25.45,25.2,26.32,27.93,35.38,35.61,26.21,25.86,26.35,28.0,32.62,32.96,27.42,28.79,99.26,100.0,25.43,25.05,26.8,26.38,27.97,27.16,28.74,26.31,27.99,25.42,25.06,27.42,28.79,25.39,25.05,36.58,36.71,25.42,25.03
s12-h1_block7_223041_232170_F,30.61,30.58,99.88,80.59,28.16,28.04,24.67,24.7,99.5,80.63,79.77,80.64,70.45,99.87,80.31,34.65,32.36,27.87,27.53,99.14,79.8,34.74,32.45,26.08,26.02,30.67,29.22,25.39,25.43,100.0,80.57,35.35,34.77,32.37,35.35,33.04,34.72,32.4,99.35,80.29,30.67,29.21,99.64,80.61,80.66,70.42,99.99,80.57
s12-h1_block7_502140_511807_F,27.13,27.11,80.63,99.69,28.11,28.08,24.39,24.47,80.69,99.66,97.81,67.39,80.25,80.61,98.48,35.08,33.07,27.92,27.62,79.88,99.19,35.14,33.16,20.9,20.73,30.53,29.4,25.05,25.05,80.57,100.0,35.56,35.11,33.11,35.69,33.77,35.13,33.12,80.56,98.44,30.53,29.39,80.64,99.67,67.43,80.23,80.57,99.93
s17-h2_block9_311477_321190_F,21.52,21.56,35.39,35.58,31.05,31.04,27.12,26.97,35.32,35.55,35.99,31.96,31.14,35.37,35.53,97.76,79.77,30.67,30.01,35.97,36.18,97.74,79.74,28.47,28.42,81.96,67.65,26.67,26.8,35.35,35.56,100.0,97.93,79.72,98.0,80.0,97.75,79.67,35.33,35.56,81.96,67.62,35.42,35.58,31.94,31.15,35.35,35.59
s17-h2_block9_404872_414543_F,20.88,20.92,34.81,35.13,30.4,30.42,26.17,26.02,34.72,35.11,35.32,31.13,30.47,34.8,35.09,99.62,80.36,29.81,29.13,35.15,35.49,99.69,80.33,27.51,27.47,80.36,67.05,26.25,26.38,34.77,35.11,97.93,100.0,80.31,98.88,79.58,99.69,80.27,34.69,35.13,80.36,67.03,34.76,35.13,31.13,30.48,34.76,35.14
s17-h2_block9_696328_705453_F,25.79,25.84,32.42,33.05,29.16,29.16,26.62,26.46,32.34,33.07,33.46,29.84,29.72,32.41,33.24,80.46,99.54,28.55,27.82,32.72,33.46,80.39,99.41,30.83,30.8,70.48,80.51,27.9,27.97,32.37,33.11,79.72,80.31,100.0,79.56,98.62,80.36,99.35,32.26,33.3,70.48,80.52,32.33,33.05,29.84,29.73,32.36,33.11
s07-h2_block7_164069_173643_F,21.7,21.74,35.4,35.71,30.69,30.67,26.77,26.77,35.31,35.69,36.07,31.71,31.05,35.39,35.68,98.92,79.61,30.28,29.63,35.74,36.08,98.87,79.59,28.34,28.3,81.03,67.86,27.03,27.16,35.35,35.69,98.0,98.88,79.56,100.0,80.33,98.88,79.52,35.28,35.71,81.03,67.84,35.35,35.71,31.71,31.06,35.35,35.72
s07-h2_block7_447661_456706_F,26.46,26.52,33.09,33.72,29.53,29.52,27.36,27.26,33.0,33.74,34.26,30.44,30.33,33.08,33.88,79.73,98.8,29.15,28.44,33.39,34.13,79.66,98.92,31.55,31.51,71.25,81.47,28.66,28.74,33.04,33.77,80.0,79.58,98.62,80.33,100.0,79.62,99.13,32.92,33.94,71.25,81.47,32.99,33.72,30.44,30.34,33.03,33.77
s19-h2_block9_313123_322798_F,20.84,20.89,34.77,35.14,30.39,30.39,26.12,25.98,34.68,35.13,35.34,31.08,30.49,34.76,35.11,99.73,80.41,29.75,29.07,35.11,35.51,99.83,80.37,27.47,27.44,80.36,67.1,26.18,26.31,34.72,35.13,97.75,99.69,80.36,98.88,79.62,100.0,80.31,34.65,35.14,80.36,67.08,34.72,35.14,31.08,30.5,34.72,35.15
s19-h2_block9_569132_578261_F,25.72,25.78,32.45,33.07,29.14,29.15,26.63,26.48,32.36,33.09,33.46,29.85,29.74,32.44,33.23,80.42,99.54,28.55,27.83,32.75,33.48,80.35,99.63,30.82,30.78,70.45,80.65,27.91,27.99,32.4,33.12,79.67,80.27,99.35,79.52,99.13,80.31,100.0,32.28,33.29,70.45,80.66,32.35,33.07,29.85,29.75,32.39,33.12
s08-h2_block7_219297_228429_F,30.51,30.46,99.35,80.57,28.11,28.0,24.66,24.68,99.43,80.59,79.75,80.53,70.45,99.34,80.29,34.57,32.25,27.89,27.57,98.59,79.78,34.66,32.34,26.01,25.96,30.63,29.11,25.38,25.42,99.35,80.56,35.33,34.69,32.26,35.28,32.92,34.65,32.28,100.0,80.27,30.63,29.1,99.36,80.59,80.55,70.41,99.34,80.56
s08-h2_block7_498541_508335_F,27.5,27.46,80.34,98.42,28.1,28.06,24.32,24.39,80.4,98.52,99.16,67.34,81.6,80.32,99.72,35.09,33.26,28.1,27.82,79.59,97.63,35.16,33.39,21.18,21.02,30.53,29.57,25.07,25.06,80.29,98.44,35.56,35.13,33.3,35.71,33.94,35.14,33.29,80.27,100.0,30.53,29.58,80.36,98.39,67.38,81.58,80.28,98.41
s14-h2_block13_317722_325489_F,30.43,29.84,30.67,30.53,28.12,27.7,25.05,25.13,30.6,30.51,30.87,27.04,25.85,30.67,30.49,80.28,70.54,28.07,27.42,31.02,30.91,80.43,70.51,45.53,45.47,100.0,85.15,27.42,27.42,30.67,30.53,81.96,80.36,70.48,81.03,71.25,80.36,70.45,30.63,30.53,100.0,85.12,30.7,30.52,26.99,25.86,30.67,30.55
s14-h2_block13_865021_872422_F,32.99,32.41,29.22,29.32,27.08,26.58,25.44,25.58,29.17,29.34,29.91,26.62,25.94,29.24,29.54,67.14,80.63,27.17,26.47,29.52,29.75,67.15,80.66,46.05,46.02,85.12,99.9,28.84,28.79,29.21,29.39,67.62,67.03,80.52,67.84,81.47,67.08,80.66,29.1,29.58,85.12,100.0,29.16,29.33,26.59,25.94,29.2,29.4
s17-h1_block7_246638_255777_F,30.61,30.58,99.69,80.66,28.16,28.04,24.7,24.73,99.53,80.68,79.85,80.63,70.52,99.65,80.38,34.64,32.32,27.95,27.61,98.94,79.87,34.73,32.41,26.08,26.02,30.7,29.17,25.36,25.39,99.64,80.64,35.42,34.76,32.33,35.35,32.99,34.72,32.35,99.36,80.36,30.7,29.16,100.0,80.68,80.64,70.49,99.65,80.64
s17-h1_block7_562458_572128_F,27.1,27.08,80.66,99.83,28.17,28.12,24.46,24.55,80.72,99.73,97.81,67.52,80.47,80.64,98.48,35.1,33.02,27.97,27.67,79.92,98.85,35.16,33.11,20.91,20.75,30.52,29.34,25.05,25.05,80.61,99.67,35.58,35.13,33.05,35.71,33.72,35.14,33.07,80.59,98.39,30.52,29.33,80.68,100.0,67.55,80.45,80.6,99.63
s15-h1_block2_149818_157218_F,45.81,45.77,80.7,67.48,28.89,28.68,37.75,37.79,80.62,67.5,67.86,99.9,85.31,80.66,67.43,30.99,29.81,27.95,28.22,81.48,68.24,31.08,29.86,32.39,33.02,26.99,26.61,36.69,36.58,80.66,67.43,31.94,31.13,29.84,31.71,30.44,31.08,29.85,80.55,67.38,26.99,26.59,80.64,67.55,100.0,85.29,80.65,67.43
s15-h1_block2_569179_576946_F,45.2,45.17,70.46,80.37,28.33,28.22,37.44,37.51,70.52,80.46,81.9,85.25,99.93,70.45,81.52,30.43,29.67,27.84,28.21,71.22,81.05,30.51,29.79,29.81,30.37,25.86,25.95,36.84,36.71,70.42,80.23,31.15,30.48,29.73,31.06,30.34,30.5,29.75,70.41,81.58,25.86,25.94,70.49,80.45,85.29,100.0,70.41,80.22
s10-h2_block7_220162_229292_F,30.6,30.57,99.87,80.58,28.15,28.03,24.67,24.7,99.49,80.62,79.76,80.64,70.45,99.86,80.3,34.64,32.35,27.87,27.53,99.13,79.8,34.73,32.44,26.08,26.02,30.67,29.21,25.38,25.42,99.99,80.57,35.35,34.76,32.36,35.35,33.03,34.72,32.39,99.34,80.28,30.67,29.2,99.65,80.6,80.65,70.41,100.0,80.57
s10-h2_block7_499642_509310_F,27.11,27.1,80.63,99.66,28.1,28.06,24.38,24.46,80.69,99.62,97.78,67.39,80.24,80.61,98.44,35.11,33.07,27.92,27.61,79.88,99.12,35.17,33.16,20.88,20.71,30.55,29.41,25.03,25.03,80.57,99.93,35.59,35.14,33.11,35.72,33.77,35.15,33.12,80.56,98.41,30.55,29.4,80.64,99.63,67.43,80.22,80.57,100.0
