,s02-h2_block1_11103_14584_F,s02-h2_block1_202352_205442_F,s02-h2_block1_329100_332133_F,s02-h2_block1_353703_356725_F,s02-h2_block1_377192_380153_F,s02-h2_block1_583363_586584_F,s03-h1_block1_11397_14848_F,s03-h1_block1_178321_181376_F,s03-h1_block1_398623_401633_F,s03-h1_block1_423182_426216_F,s03-h1_block1_447307_450501_F,s03-h1_block1_457750_460964_F,s03-h1_block1_481791_484792_F,s03-h1_block1_505876_509070_F,s03-h1_block1_529729_532724_F,s03-h1_block1_553669_556787_F,s03-h2_block1_11105_13194_F,s03-h2_block1_177184_181580_F,s03-h2_block1_186228_188622_F,s03-h2_block1_188624_190562_F,s03-h2_block1_195311_197624_F,s03-h2_block1_197626_199663_F,s03-h2_block1_206958_208803_F,s03-h2_block1_427214_429013_F,s03-h2_block1_451741_453581_F,s03-h2_block1_475892_479072_F,s03-h2_block1_486334_489519_F,s03-h2_block1_496777_498763_F,s03-h2_block1_520620_523809_F,s03-h2_block1_531067_533044_F,s03-h2_block1_554909_556895_F,s03-h2_block1_578861_580726_F,s03-h2_block1_603008_604967_F,s03-h2_block1_626951_630070_F,s01-h1_block1_11396_13486_F,s01-h1_block1_177894_182290_F,s01-h1_block1_186938_189332_F,s01-h1_block1_189334_191272_F,s01-h1_block1_196021_198334_F,s01-h1_block1_198336_200373_F,s01-h1_block1_207668_209513_F,s01-h1_block1_427924_429723_F,s01-h1_block1_452451_454291_F,s01-h1_block1_476602_479782_F,s01-h1_block1_487044_490229_F,s01-h1_block1_497487_499473_F,s01-h1_block1_521330_524519_F,s01-h1_block1_531777_533754_F,s01-h1_block1_555619_557605_F,s01-h1_block1_579571_581436_F,s01-h1_block1_603718_605677_F,s01-h1_block1_627661_630780_F,s04-h1_block1_11396_13430_F,s04-h1_block1_175937_180333_F,s04-h1_block1_184981_187375_F,s04-h1_block1_187377_189408_F,s04-h1_block1_196708_198548_F,s04-h1_block1_416547_418340_F,s04-h1_block1_440506_443673_F,s04-h1_block1_447923_449861_F,s04-h1_block1_472119_474103_F,s04-h1_block1_496160_499186_F,s04-h2_block1_11397_14886_F,s04-h2_block1_187530_190592_F,s04-h2_block1_407658_410689_F,s04-h2_block1_432199_435237_F,s04-h2_block1_456308_459498_F,s04-h2_block1_466940_469961_F,s04-h2_block1_490875_493725_F,s04-h2_block1_514854_517875_F,s04-h2_block1_525291_528507_F,s04-h2_block1_549142_552064_F,s04-h2_block1_573096_576215_F,s02-h1_block1_10875_16150_F,s02-h1_block1_204595_209382_F,s02-h1_block1_331337_336051_F,s02-h1_block7_355338_359613_F,s02-h1_block7_562906_567558_F,s01-h2_block1_11399_13484_F,s01-h2_block1_177486_181882_F,s01-h2_block1_186530_188887_F,s01-h2_block1_188926_190864_F,s01-h2_block1_195613_197889_F,s01-h2_block1_197928_199965_F,s01-h2_block1_204659_207020_F,s01-h2_block1_207261_209105_F,s01-h2_block1_231975_233784_F,s01-h2_block1_256093_259273_F,s01-h2_block1_266535_269720_F,s01-h2_block1_276978_278954_F,s01-h2_block1_300821_304010_F,s01-h2_block1_311268_313235_F,s01-h2_block1_335110_337086_F,s01-h2_block1_358960_360929_F,s01-h2_block1_382901_386019_F
s03-h1_block1_447307_450501_F,86.61,87.16,85.03,95.43,82.15,83.67,86.94,87.59,85.43,96.88,100.0,99.19,96.56,99.54,96.33,80.56,73.87,42.29,30.52,72.31,31.52,72.79,75.19,75.23,82.25,99.64,99.49,84.38,99.78,84.26,84.56,82.64,83.7,80.47,73.88,42.29,30.52,72.31,31.52,72.79,75.19,75.23,82.25,99.64,99.49,84.38,99.78,84.26,84.56,82.64,83.7,80.47,73.37,42.2,30.52,72.87,75.25,75.31,99.58,83.52,84.0,81.63,86.46,87.35,85.15,97.02,99.84,96.89,94.59,97.66,99.08,95.45,80.5,64.35,66.05,64.35,65.85,66.87,73.86,42.29,30.98,72.31,31.98,72.79,30.93,75.2,81.86,99.64,99.49,84.25,99.78,84.14,84.44,83.89,80.51
s03-h1_block1_457750_460964_F,86.95,87.25,85.22,95.74,82.29,83.39,87.28,87.38,85.57,96.83,99.19,100.0,96.43,99.33,96.3,80.39,73.77,42.0,30.27,72.03,31.27,72.54,74.9,74.94,82.08,98.92,99.38,84.59,99.07,84.5,84.3,82.57,83.6,80.17,73.78,42.0,30.27,72.03,31.27,72.54,74.9,74.94,82.08,98.92,99.38,84.59,99.07,84.5,84.3,82.57,83.6,80.17,73.3,41.94,30.27,72.62,74.97,75.03,98.87,83.48,83.88,81.21,86.81,87.09,85.28,96.82,99.13,97.53,94.49,96.95,99.69,95.36,80.2,64.65,66.14,64.54,66.0,67.0,73.76,42.0,30.73,72.03,31.73,72.54,30.68,74.92,81.72,98.92,99.38,84.46,99.07,84.38,84.18,83.85,80.21
s03-h1_block1_481791_484792_F,84.67,85.17,83.22,97.75,79.76,81.29,85.0,85.59,83.62,99.58,96.56,96.43,100.0,96.68,94.56,78.02,71.98,40.12,32.91,70.16,33.92,70.65,73.28,73.44,83.92,96.36,96.54,81.75,96.49,81.86,81.83,83.14,82.54,77.79,72.0,40.12,32.91,70.16,33.92,70.65,73.28,73.44,83.92,96.36,96.54,81.75,96.49,81.86,81.83,83.14,82.54,77.79,71.49,40.06,32.91,70.73,73.34,73.52,96.76,82.57,82.52,78.94,84.52,85.44,83.33,99.32,96.59,98.78,97.38,94.59,96.31,93.52,77.81,62.37,64.06,62.57,63.33,64.47,71.97,40.12,33.37,70.16,34.38,70.65,33.33,73.29,84.35,96.36,96.54,81.64,96.49,81.75,81.7,81.89,77.82
s03-h1_block1_505876_509070_F,86.63,87.07,85.02,95.36,82.06,83.62,86.94,87.45,85.42,97.03,99.54,99.33,96.68,100.0,96.51,80.47,73.91,42.18,30.52,72.21,31.52,72.72,75.18,75.23,82.34,99.32,99.25,84.5,99.39,84.39,84.96,82.75,83.82,80.42,73.92,42.18,30.52,72.21,31.52,72.72,75.18,75.23,82.34,99.32,99.25,84.5,99.39,84.39,84.96,82.75,83.82,80.42,73.42,42.1,30.52,72.79,75.24,75.31,99.19,83.68,84.11,81.58,86.46,87.32,85.13,97.07,99.43,97.02,94.74,97.43,99.14,95.57,80.45,64.33,65.97,64.34,65.68,66.8,73.9,42.18,30.98,72.21,31.98,72.72,30.93,75.19,81.95,99.32,99.25,84.38,99.39,84.26,84.84,84.0,80.46
s03-h1_block1_529729_532724_F,84.43,84.89,83.06,93.29,80.89,83.05,84.72,85.31,83.39,94.98,96.33,96.3,94.56,96.51,100.0,79.06,76.23,44.41,32.99,74.44,34.0,74.94,77.44,77.71,85.0,96.48,96.59,86.45,96.26,86.51,86.45,85.92,86.55,78.87,76.25,44.41,32.99,74.44,34.0,74.94,77.44,77.71,85.0,96.48,96.59,86.45,96.26,86.51,86.45,85.92,86.55,78.87,75.75,44.35,32.99,75.02,77.5,77.8,96.31,86.77,86.67,80.02,84.25,85.17,83.1,94.94,96.35,94.07,94.83,98.52,96.28,98.79,78.86,62.11,63.78,62.47,64.46,65.28,76.22,44.41,33.45,74.44,34.46,74.94,33.4,77.45,84.61,96.48,96.59,86.33,96.26,86.39,86.33,87.13,78.88
s03-h1_block1_553669_556787_F,73.67,79.65,77.59,77.1,96.23,87.1,74.0,79.84,77.9,78.37,80.56,80.39,78.02,80.47,79.06,100.0,66.91,44.25,31.47,75.03,32.47,73.83,71.7,71.31,70.52,80.35,80.47,72.32,80.55,72.21,72.33,70.84,72.04,99.69,66.92,44.25,31.47,75.03,32.47,73.83,71.7,71.31,70.52,80.35,80.47,72.32,80.55,72.21,72.33,70.84,72.04,99.69,67.02,44.23,31.47,73.87,71.67,71.3,80.24,71.7,72.23,98.58,73.52,79.79,77.65,78.41,80.48,78.04,76.63,79.52,80.34,78.43,99.73,54.88,61.53,60.14,79.95,70.44,66.89,44.25,31.92,75.03,32.93,73.83,32.94,71.7,70.12,80.35,80.47,72.29,80.55,72.18,72.29,72.07,99.74
s03-h2_block1_11105_13194_F,82.6,69.09,67.0,71.08,68.88,69.88,83.01,69.57,67.25,72.38,73.87,73.77,71.98,73.91,76.23,66.91,100.0,55.02,44.25,85.12,45.26,85.66,84.49,82.29,87.88,74.02,74.1,89.06,73.85,89.0,88.91,88.15,88.97,66.79,99.96,55.02,44.25,85.12,45.26,85.66,84.49,82.29,87.88,74.02,74.1,89.06,73.85,89.0,88.91,88.15,88.97,66.79,99.25,54.98,44.25,85.73,84.55,82.37,73.83,88.61,88.92,67.94,82.54,69.36,66.99,72.43,73.88,71.88,71.8,76.0,73.81,77.32,66.82,60.3,47.98,46.25,52.53,52.09,99.95,55.02,44.71,85.12,45.72,85.66,44.66,84.5,87.5,74.02,74.1,89.19,73.85,89.12,89.04,89.05,66.82
s03-h2_block1_177184_181580_F,37.68,40.57,37.78,39.14,42.65,41.14,38.02,40.91,38.01,40.5,42.29,42.0,40.12,42.18,44.41,44.25,55.02,100.0,73.95,68.91,72.95,68.48,56.1,53.19,56.05,42.46,42.35,57.32,42.3,57.27,57.17,56.36,57.18,44.23,54.99,100.0,73.95,68.91,72.95,68.48,56.1,53.19,56.05,42.46,42.35,57.32,42.3,57.27,57.17,56.36,57.18,44.23,55.64,99.9,73.96,68.4,56.03,53.14,42.22,56.82,57.1,43.8,37.55,40.85,37.75,40.56,42.22,40.15,39.8,44.28,42.05,45.42,44.19,20.29,23.65,21.33,26.36,23.36,55.07,100.0,73.54,68.91,72.54,68.48,73.5,56.08,55.65,42.46,42.35,57.44,42.3,57.39,57.29,57.23,44.23
s03-h2_block1_186228_188622_F,26.95,31.81,32.52,32.65,33.41,30.18,27.32,32.24,32.8,32.5,30.52,30.27,32.91,30.52,32.99,31.47,44.25,73.95,100.0,46.13,98.98,45.02,47.28,47.86,47.35,30.69,30.63,45.53,30.58,45.64,45.53,47.04,45.87,31.5,44.24,73.95,100.0,46.13,98.98,45.02,47.28,47.86,47.35,30.69,30.63,45.53,30.58,45.64,45.53,47.04,45.87,31.5,44.93,73.93,99.96,44.97,47.35,47.93,30.85,46.13,45.56,32.6,26.85,32.16,32.54,32.45,30.57,32.67,34.79,32.67,30.24,33.9,31.5,4.65,10.71,11.62,17.08,12.39,44.3,73.95,99.54,46.13,98.52,45.02,97.54,47.3,47.73,30.69,30.63,45.66,30.58,45.77,45.66,45.74,31.5
s03-h2_block1_188624_190562_F,67.78,70.8,68.0,69.17,73.44,71.57,68.13,71.14,68.24,70.53,72.31,72.03,70.16,72.21,74.44,75.03,85.12,68.91,46.13,100.0,47.13,98.77,86.33,83.42,86.08,72.48,72.37,87.35,72.32,87.3,87.2,86.39,87.21,74.97,85.1,68.91,46.13,100.0,47.13,98.77,86.33,83.42,86.08,72.48,72.37,87.35,72.32,87.3,87.2,86.39,87.21,74.97,85.74,68.83,46.13,98.84,86.26,83.37,72.24,86.85,87.13,74.61,67.66,71.08,67.98,70.59,72.24,70.18,69.83,74.29,72.08,75.45,74.93,50.75,54.34,51.93,57.15,53.78,85.17,68.91,46.59,100.0,47.59,98.77,48.53,86.31,85.68,72.48,72.37,87.47,72.32,87.42,87.32,87.26,74.98
s03-h2_block1_195311_197624_F,27.96,32.82,33.52,33.66,34.42,31.19,28.33,33.25,33.81,33.51,31.52,31.27,33.92,31.52,34.0,32.47,45.26,72.95,98.98,47.13,100.0,45.9,48.29,48.86,48.35,31.7,31.63,46.54,31.58,46.65,46.54,48.04,46.87,32.45,45.25,72.95,98.98,47.13,100.0,45.9,48.29,48.86,48.35,31.7,31.63,46.54,31.58,46.65,46.54,48.04,46.87,32.45,45.94,72.94,98.97,45.98,48.35,48.94,31.86,47.13,46.56,33.61,27.86,33.16,33.55,33.46,31.57,33.67,35.8,33.67,31.25,34.9,32.45,5.66,11.72,12.63,18.09,13.4,45.31,72.95,98.67,47.13,99.54,45.9,98.41,48.3,48.74,31.7,31.63,46.66,31.58,46.77,46.66,46.75,32.47
s03-h2_block1_197626_199663_F,68.32,70.14,67.35,69.65,72.21,71.71,68.66,70.48,67.58,71.05,72.79,72.54,70.65,72.72,74.94,73.83,85.66,68.48,45.02,98.77,45.9,100.0,85.67,82.76,86.58,72.96,72.85,87.83,72.8,87.78,87.71,86.89,87.69,73.81,85.63,68.48,45.02,98.77,45.9,100.0,85.67,82.76,86.58,72.96,72.85,87.83,72.8,87.78,87.71,86.89,87.69,73.81,86.28,68.39,45.02,99.93,85.61,82.71,72.73,87.35,87.62,73.37,68.19,70.42,67.32,71.09,72.73,70.69,70.33,74.78,72.59,75.95,73.77,51.29,53.69,51.27,55.92,53.92,85.71,68.48,45.36,98.77,46.36,100.0,47.45,85.66,86.18,72.96,72.85,87.96,72.8,87.91,87.83,87.76,73.81
s03-h2_block1_206958_208803_F,69.07,84.25,79.42,72.13,73.41,74.82,69.42,84.05,79.7,73.67,75.19,74.9,73.28,75.18,77.44,71.7,84.49,56.1,47.28,86.33,48.29,85.67,100.0,94.82,89.17,75.35,75.26,90.16,75.28,90.11,90.19,89.36,90.3,71.7,84.51,56.1,47.28,86.33,48.29,85.67,100.0,94.82,89.17,75.35,75.26,90.16,75.28,90.11,90.19,89.36,90.3,71.7,84.36,56.07,47.28,85.74,99.93,94.83,75.13,89.84,90.23,72.85,68.95,84.71,79.44,73.69,75.15,73.0,72.89,77.28,74.87,78.51,71.65,47.43,63.28,58.61,57.15,57.03,84.49,56.1,47.74,86.33,48.75,85.67,47.69,99.99,88.78,75.35,75.26,90.28,75.28,90.23,90.32,90.23,71.68
s03-h2_block1_427214_429013_F,69.42,81.81,84.36,72.23,73.13,74.52,69.79,81.73,84.79,73.82,75.23,74.94,73.44,75.23,77.71,71.31,82.29,53.19,47.86,83.42,48.86,82.76,94.82,100.0,86.94,75.4,75.31,88.15,75.29,88.09,88.19,87.3,88.13,71.22,82.31,53.19,47.86,83.42,48.86,82.76,94.82,100.0,86.94,75.4,75.31,88.15,75.29,88.09,88.19,87.3,88.13,71.22,82.18,53.19,47.86,82.83,94.77,99.91,75.15,88.0,88.32,72.38,69.32,82.14,84.52,73.83,75.19,73.0,73.2,77.33,75.0,78.79,71.21,47.83,60.89,63.03,56.74,56.73,82.26,53.19,48.32,83.42,49.32,82.76,48.27,94.8,86.58,75.4,75.31,88.08,75.29,88.02,88.13,88.24,71.24
s03-h2_block1_451741_453581_F,73.18,73.77,71.61,82.13,72.39,74.42,73.46,74.2,71.9,84.31,82.25,82.08,83.92,82.34,85.0,70.52,87.88,56.05,47.35,86.08,48.35,86.58,89.17,86.94,100.0,82.35,82.37,97.28,82.27,97.39,97.35,99.01,98.4,70.33,87.89,56.05,47.35,86.08,48.35,86.58,89.17,86.94,100.0,82.35,82.37,97.28,82.27,97.39,97.35,99.01,98.4,70.33,87.38,55.99,47.35,86.65,89.24,87.02,82.54,98.15,98.09,71.49,72.99,74.02,71.63,84.43,82.29,83.0,83.05,84.46,81.99,85.94,70.35,50.86,52.68,50.84,55.95,56.66,87.87,56.05,47.81,86.08,48.81,86.58,47.76,89.19,99.56,82.35,82.37,97.4,82.27,97.51,97.48,97.71,70.37
s03-h2_block1_475892_479072_F,86.41,86.99,84.89,95.21,81.99,83.83,86.74,87.41,85.28,96.68,99.64,98.92,96.36,99.32,96.48,80.35,74.02,42.46,30.69,72.48,31.7,72.96,75.35,75.4,82.35,100.0,99.54,84.46,99.53,84.35,84.67,82.8,83.82,80.29,74.03,42.46,30.69,72.48,31.7,72.96,75.35,75.4,82.35,100.0,99.54,84.46,99.53,84.35,84.67,82.8,83.82,80.29,73.52,42.37,30.69,73.04,75.41,75.49,99.49,83.65,84.11,81.44,86.26,87.18,85.0,96.78,99.6,96.63,94.74,97.78,98.82,95.6,80.31,64.14,65.88,64.18,65.73,66.74,74.01,42.46,31.15,72.48,32.16,72.96,31.1,75.36,81.96,100.0,99.54,84.34,99.53,84.23,84.55,84.05,80.32
s03-h2_block1_486334_489519_F,86.59,86.99,84.97,95.34,82.1,83.78,86.94,87.48,85.32,96.92,99.49,99.38,96.54,99.25,96.59,80.47,74.1,42.35,30.63,72.37,31.63,72.85,75.26,75.31,82.37,99.54,100.0,84.77,99.42,84.66,84.46,82.88,83.93,80.26,74.11,42.35,30.63,72.37,31.63,72.85,75.26,75.31,82.37,99.54,100.0,84.77,99.42,84.66,84.46,82.88,83.93,80.26,73.6,42.29,30.63,72.93,75.33,75.4,99.34,83.79,84.23,81.42,86.46,87.25,85.03,96.93,99.45,96.93,94.79,97.5,99.19,95.71,80.29,64.29,65.88,64.26,65.84,66.8,74.08,42.35,31.09,72.37,32.09,72.85,31.04,75.28,82.01,99.54,100.0,84.65,99.42,84.54,84.34,84.16,80.3
