,s01-h1_block20_1011311_1017140_F,s01-h1_block20_1021091_1026710_F,s01-h1_block20_1029964_1036046_F,s01-h1_block20_1040048_1045068_F,s01-h1_block20_1049153_1054777_F,s01-h1_block20_1058737_1063950_F,s01-h1_block20_1067532_1073634_F,s01-h1_block20_1077031_1083203_F,s02-h2_block10_662424_664384_F,s02-h2_block10_671895_673763_F,s02-h2_block10_719169_721258_F,s02-h2_block12_667200_669848_F,s02-h2_block12_677208_679592_F,s02-h2_block12_686415_688831_F,s02-h2_block12_695745_698153_F,s02-h2_block12_705183_707404_F,s02-h2_block12_714494_717250_F,s02-h1_block10_641944_649440_F,s02-h1_block10_651706_659059_F,s02-h1_block10_661235_668288_F,s02-h1_block10_670490_677670_F,s02-h1_block10_679858_687061_F,s01-h2_block12_766661_772482_F,s01-h2_block12_776438_782187_F,s01-h2_block12_786172_791525_F,s01-h2_block12_795180_800611_F,s01-h2_block12_804091_809990_F,s01-h2_block12_813712_819820_F,s02-h2_block11_664387_667141_F,s02-h2_block11_673765_677142_F,s02-h2_block11_682927_686148_F,s02-h2_block11_692578_695467_F,s02-h2_block11_701489_704917_F,s02-h2_block11_711110_714327_F
s02-h2_block10_719169_721258_F,9.67,12.02,13.8,18.85,11.96,16.65,11.85,9.72,82.69,89.5,100.0,45.92,48.93,48.57,48.66,50.79,44.69,18.52,19.75,20.29,22.71,18.81,9.71,10.53,15.05,14.16,15.21,8.8,44.71,37.6,44.28,43.46,43.48,41.89
s02-h2_block12_667200_669848_F,60.76,57.4,56.43,50.53,61.7,55.83,55.13,55.3,47.39,48.44,45.92,100.0,90.29,85.56,92.53,91.29,92.82,44.68,42.09,32.42,39.19,42.54,60.79,60.23,54.14,55.15,54.7,56.02,38.33,38.34,33.0,36.79,30.71,33.05
s02-h2_block12_677208_679592_F,53.04,53.17,55.04,45.36,59.74,51.6,53.9,53.66,50.41,51.45,48.93,90.29,100.0,80.53,88.47,93.04,92.63,37.66,43.3,27.39,35.15,40.21,53.14,59.5,49.09,50.88,50.75,54.41,41.34,34.23,36.02,39.8,33.65,36.06
s02-h2_block12_686415_688831_F,51.27,53.59,47.21,64.51,52.64,55.08,45.26,47.42,50.04,51.09,48.57,85.56,80.53,100.0,89.23,83.68,83.7,31.32,32.82,46.86,35.42,32.77,51.27,51.01,66.26,54.43,47.48,48.12,40.98,41.44,35.65,39.44,33.36,35.7
s02-h2_block12_695745_698153_F,56.26,63.13,54.31,54.02,59.64,62.67,53.35,53.01,50.13,51.18,48.66,92.53,88.47,89.23,100.0,91.73,91.06,37.48,39.92,36.08,45.54,40.8,56.33,58.11,57.53,62.08,55.56,53.74,41.07,40.68,35.74,39.53,33.45,35.79
s02-h2_block12_705183_707404_F,55.11,56.4,52.7,48.41,57.73,54.78,55.37,51.48,52.27,53.32,50.79,91.29,93.04,83.68,91.73,100.0,90.57,35.97,37.91,30.54,38.39,43.15,55.18,56.5,52.25,54.14,57.35,52.21,43.2,36.24,37.88,41.66,35.51,37.92
s02-h2_block12_714494_717250_F,55.88,55.77,56.37,48.52,60.2,54.15,56.49,59.96,46.16,47.21,44.69,92.82,92.63,83.7,91.06,90.57,100.0,40.16,43.11,30.56,37.74,43.23,55.93,60.77,52.28,53.45,53.81,60.69,37.1,35.76,31.77,35.56,29.41,31.82
s02-h1_block10_641944_649440_F,75.5,67.8,73.84,55.83,69.9,63.08,73.14,72.66,35.62,25.36,18.52,44.68,37.66,31.32,37.48,35.97,40.16,100.0,85.83,73.33,82.11,83.72,75.32,70.68,59.16,65.74,71.2,72.19,45.89,47.52,43.92,43.38,47.24,45.79
s02-h1_block10_651706_659059_F,69.34,70.38,83.61,55.88,79.64,64.74,74.97,74.39,33.09,29.56,19.75,42.09,43.3,32.82,39.92,37.91,43.11,85.83,100.0,74.37,86.52,86.27,69.25,79.41,59.32,68.2,72.93,73.56,41.54,54.63,46.78,46.56,48.45,46.17
s02-h1_block10_661235_668288_F,64.45,67.79,66.43,76.47,63.08,69.36,63.78,64.8,33.66,27.84,20.29,32.42,27.39,46.86,36.08,30.54,30.56,73.33,74.37,100.0,79.71,74.89,64.29,62.27,77.68,68.99,67.13,64.27,46.57,53.52,56.26,49.26,53.24,51.39
s02-h1_block10_670490_677670_F,69.14,81.09,74.26,61.42,70.9,73.83,71.81,70.18,35.62,31.87,22.71,39.19,35.15,35.42,45.54,38.39,37.74,82.11,86.52,79.71,100.0,84.31,69.06,70.01,64.92,79.01,75.16,69.77,45.06,51.96,48.62,51.03,51.91,49.67
s02-h1_block10_679858_687061_F,70.98,71.21,77.21,57.64,72.66,66.6,85.63,75.31,31.58,27.11,18.81,42.54,40.21,32.77,40.8,43.15,43.23,83.72,86.27,74.89,84.31,100.0,70.9,74.34,61.17,69.34,84.43,74.83,44.92,49.93,46.91,46.4,56.92,50.46
s01-h2_block12_766661_772482_F,99.1,87.08,83.61,75.97,88.07,82.24,83.44,84.78,19.17,12.23,9.71,60.79,53.14,51.27,56.33,55.18,55.93,75.32,69.25,64.29,69.06,70.9,100.0,86.83,79.28,85.03,84.01,86.0,62.64,66.44,58.07,62.18,59.91,62.76
s01-h2_block12_776438_782187_F,86.87,87.97,94.9,74.05,96.3,82.93,86.97,87.78,18.94,13.05,10.53,60.23,59.5,51.01,58.11,56.5,60.77,70.68,79.41,62.27,70.01,74.34,86.83,100.0,77.64,86.01,84.88,88.66,59.91,71.05,59.45,64.08,60.07,62.24
s01-h2_block12_786172_791525_F,79.39,82.76,73.79,95.62,79.17,85.1,73.83,76.12,17.14,17.57,15.05,54.14,49.09,66.26,57.53,52.25,52.28,59.16,59.32,77.68,64.92,61.17,79.28,77.64,100.0,81.79,76.14,77.3,66.0,65.86,60.64,61.58,59.65,62.0
s01-h2_block12_795180_800611_F,85.01,97.03,82.65,81.71,86.93,94.41,81.94,82.08,22.66,16.68,14.16,55.15,50.88,54.43,62.08,54.14,53.45,65.74,68.2,68.99,79.01,69.34,85.03,86.01,81.79,100.0,84.18,83.32,65.07,72.04,63.41,70.14,65.07,67.03
s01-h2_block12_804091_809990_F,84.02,86.06,87.63,72.62,85.13,81.6,96.25,86.02,23.43,18.1,15.21,54.7,50.75,47.48,55.56,57.35,53.81,71.2,72.93,67.13,75.16,84.43,84.01,84.88,76.14,84.18,100.0,85.52,59.88,64.83,61.86,61.36,71.46,65.41
s01-h2_block12_813712_819820_F,86.02,85.23,86.42,73.88,87.41,80.85,88.14,98.4,16.97,11.31,8.8,56.02,54.41,48.12,53.74,52.21,60.69,72.19,73.56,64.27,69.77,74.83,86.0,88.66,77.3,83.32,85.52,100.0,58.07,63.83,57.1,59.07,60.84,66.74
s02-h2_block11_664387_667141_F,62.67,62.57,56.02,69.84,61.3,67.27,57.53,56.92,46.18,47.23,44.71,38.33,41.34,40.98,41.07,43.2,37.1,45.89,41.54,46.57,45.06,44.92,62.64,59.91,66.0,65.07,59.88,58.07,100.0,86.91,85.84,89.98,87.99,90.7
s02-h2_block11_673765_677142_F,66.46,69.78,68.28,69.95,72.38,70.35,62.5,63.0,46.59,40.12,37.6,38.34,34.23,41.44,40.68,36.24,35.76,47.52,54.63,53.52,51.96,49.93,66.44,71.05,65.86,72.04,64.83,63.83,86.91,100.0,87.12,91.65,86.99,89.09
s02-h2_block11_682927_686148_F,58.13,61.12,61.38,64.75,60.05,65.61,59.51,57.77,53.02,46.91,44.28,33.0,36.02,35.65,35.74,37.88,31.77,43.92,46.78,56.26,48.62,46.91,58.07,59.45,60.64,63.41,61.86,57.1,85.84,87.12,100.0,92.94,89.99,90.17
s02-h2_block11_692578_695467_F,62.24,67.84,61.15,65.66,64.84,66.84,59.01,58.15,52.11,45.97,43.46,36.79,39.8,39.44,39.53,41.66,35.56,43.38,46.56,49.26,51.03,46.4,62.18,64.08,61.58,70.14,61.36,59.07,89.98,91.65,92.94,100.0,89.48,91.97
s02-h2_block11_701489_704917_F,59.9,62.56,62.94,63.76,60.46,64.18,68.0,61.3,51.74,46.38,43.48,30.71,33.65,33.36,33.45,35.51,29.41,47.24,48.45,53.24,51.91,56.92,59.91,60.07,59.65,65.07,71.46,60.84,87.99,86.99,89.99,89.48,100.0,93.54
s02-h2_block11_711110_714327_F,62.76,64.58,60.71,66.03,62.59,66.36,63.03,65.55,50.06,44.4,41.89,33.05,36.06,35.7,35.79,37.92,31.82,45.79,46.17,51.39,49.67,50.46,62.76,62.24,62.0,67.03,65.41,66.74,90.7,89.09,90.17,91.97,93.54,100.0
