,s01-h1_block16_442862_452197_F,s01-h1_block16_467305_476470_F,s01-h1_block16_511856_521201_F,s01-h1_block16_546141_555484_F,s01-h1_block16_569989_579317_F,s01-h1_block16_594420_603453_F,s01-h1_block16_618412_627488_F,s04-h2_block16_459696_466627_F,s04-h2_block16_518072_524979_F,s04-h2_block15_422587_431920_F,s04-h2_block15_447025_456175_F,s04-h2_block15_481116_490394_F,s04-h2_block15_505630_514721_F,s04-h2_block15_539665_548739_F,s04-h2_block15_563845_572966_F,s01-h2_block9_259315_266411_F,s01-h2_block9_269757_276850_F,s01-h2_block9_304052_311140_F,s03-h2_block17_479114_486210_F,s03-h2_block17_489556_496649_F,s03-h2_block17_523851_530939_F,s01-h1_block17_479824_486920_F,s01-h1_block17_490266_497359_F,s01-h1_block17_524561_531649_F,s04-h1_block17_436612_440364_F,s04-h1_block17_443707_447756_F,s04-h1_block17_468218_471954_F,s04-h1_block17_492203_495908_F,s03-h1_block13_413528_422898_F,s03-h1_block13_437992_447175_F,s03-h1_block13_472092_481466_F,s03-h1_block13_496583_505736_F,s03-h1_block13_520216_529408_F,s03-h1_block13_544394_553490_F,s01-h2_block8_222352_231696_F,s01-h2_block8_246810_255969_F,s01-h2_block8_291346_300700_F,s01-h2_block8_325631_334984_F,s01-h2_block8_349479_358679_F,s01-h2_block8_373656_382742_F,s03-h2_block16_442152_451487_F,s03-h2_block16_466595_475760_F,s03-h2_block16_511146_520491_F,s03-h2_block16_545431_554774_F,s03-h2_block16_569279_578607_F,s03-h2_block16_593710_602743_F,s03-h2_block16_617702_626778_F
s04-h2_block15_447025_456175_F,95.93,99.51,98.27,98.0,95.69,96.36,92.21,32.27,35.05,95.85,100.0,95.29,99.5,93.7,92.62,33.57,33.59,33.41,33.57,33.59,33.41,33.57,33.59,33.41,56.77,58.05,55.85,55.04,95.56,99.34,95.44,99.47,94.18,92.11,95.85,99.47,98.23,98.0,94.68,92.34,95.93,99.51,98.27,98.0,95.69,96.36,92.21
s04-h2_block15_481116_490394_F,98.71,95.4,96.93,96.8,99.44,97.45,95.14,30.48,33.32,98.7,95.29,100.0,94.83,98.16,95.48,31.84,31.87,31.69,31.84,31.87,31.69,31.84,31.87,31.69,53.73,56.99,55.25,54.46,98.73,95.5,97.19,95.21,98.73,94.81,98.66,95.23,96.87,96.75,99.24,95.29,98.71,95.4,96.93,96.82,99.44,97.45,95.14
s04-h2_block15_505630_514721_F,95.47,99.05,97.8,97.55,95.24,95.91,91.77,32.75,35.53,95.41,99.5,94.83,100.0,93.24,92.19,34.05,34.07,33.89,34.05,34.07,33.89,34.05,34.07,33.89,57.25,58.53,56.33,55.52,95.11,98.89,95.0,99.0,93.74,91.66,95.4,99.15,97.76,97.53,94.24,91.89,95.47,99.05,97.8,97.53,95.24,95.91,91.77
s04-h2_block15_539665_548739_F,97.12,93.85,95.31,95.27,97.73,96.65,96.77,28.93,31.77,97.15,93.7,98.16,93.24,100.0,97.11,30.29,30.32,30.13,30.29,30.32,30.13,30.29,30.32,30.13,52.18,55.38,53.62,56.1,97.1,93.94,95.58,93.64,98.85,96.41,97.06,93.67,95.24,95.22,98.75,96.87,97.12,93.85,95.31,95.28,97.73,96.65,96.77
s04-h2_block15_563845_572966_F,94.72,92.78,94.21,94.17,95.04,94.59,99.25,28.23,31.07,94.72,92.62,95.48,92.19,97.11,100.0,29.58,29.61,29.43,29.58,29.61,29.43,29.58,29.61,29.43,50.89,53.59,51.85,56.77,95.0,92.89,96.73,92.58,96.62,99.01,94.67,92.61,94.16,94.12,96.07,99.4,94.72,92.78,94.21,94.18,95.04,94.59,99.25
s01-h2_block9_259315_266411_F,32.55,33.46,32.03,31.94,32.24,32.93,29.19,98.51,98.42,32.48,33.57,31.84,34.05,30.29,29.58,100.0,99.96,99.77,100.0,99.96,99.77,100.0,99.96,99.77,71.99,74.79,72.27,72.05,32.24,33.29,32.46,33.36,30.74,29.08,32.6,33.63,32.08,32.0,31.25,29.37,32.55,33.46,32.03,31.94,32.24,32.93,29.19
s01-h2_block9_269757_276850_F,32.57,33.48,32.05,31.96,32.26,32.96,29.21,98.47,98.45,32.5,33.59,31.87,34.07,30.32,29.61,99.96,100.0,99.75,99.96,100.0,99.75,99.96,100.0,99.75,72.02,74.81,72.29,72.07,32.26,33.31,32.49,33.39,30.77,29.11,32.62,33.66,32.11,32.03,31.28,29.39,32.57,33.48,32.05,31.96,32.26,32.96,29.21
s01-h2_block9_304052_311140_F,32.39,33.3,31.87,31.78,32.09,32.78,29.02,98.68,98.27,32.32,33.41,31.69,33.89,30.13,29.43,99.77,99.75,100.0,99.77,99.75,100.0,99.77,99.75,100.0,72.03,74.63,72.33,71.88,32.09,33.13,32.3,33.2,30.59,28.91,32.44,33.47,31.92,31.84,31.1,29.21,32.39,33.3,31.87,31.78,32.09,32.78,29.02
s03-h2_block17_479114_486210_F,32.55,33.46,32.03,31.94,32.24,32.93,29.19,98.51,98.42,32.48,33.57,31.84,34.05,30.29,29.58,100.0,99.96,99.77,100.0,99.96,99.77,100.0,99.96,99.77,71.99,74.79,72.27,72.05,32.24,33.29,32.46,33.36,30.74,29.08,32.6,33.63,32.08,32.0,31.25,29.37,32.55,33.46,32.03,31.94,32.24,32.93,29.19
s03-h2_block17_489556_496649_F,32.57,33.48,32.05,31.96,32.26,32.96,29.21,98.47,98.45,32.5,33.59,31.87,34.07,30.32,29.61,99.96,100.0,99.75,99.96,100.0,99.75,99.96,100.0,99.75,72.02,74.81,72.29,72.07,32.26,33.31,32.49,33.39,30.77,29.11,32.62,33.66,32.11,32.03,31.28,29.39,32.57,33.48,32.05,31.96,32.26,32.96,29.21
s03-h2_block17_523851_530939_F,32.39,33.3,31.87,31.78,32.09,32.78,29.02,98.68,98.27,32.32,33.41,31.69,33.89,30.13,29.43,99.77,99.75,100.0,99.77,99.75,100.0,99.77,99.75,100.0,72.03,74.63,72.33,71.88,32.09,33.13,32.3,33.2,30.59,28.91,32.44,33.47,31.92,31.84,31.1,29.21,32.39,33.3,31.87,31.78,32.09,32.78,29.02
s01-h1_block17_479824_486920_F,32.55,33.46,32.03,31.94,32.24,32.93,29.19,98.51,98.42,32.48,33.57,31.84,34.05,30.29,29.58,100.0,99.96,99.77,100.0,99.96,99.77,100.0,99.96,99.77,71.99,74.79,72.27,72.05,32.24,33.29,32.46,33.36,30.74,29.08,32.6,33.63,32.08,32.0,31.25,29.37,32.55,33.46,32.03,31.94,32.24,32.93,29.19
s01-h1_block17_490266_497359_F,32.57,33.48,32.05,31.96,32.26,32.96,29.21,98.47,98.45,32.5,33.59,31.87,34.07,30.32,29.61,99.96,100.0,99.75,99.96,100.0,99.75,99.96,100.0,99.75,72.02,74.81,72.29,72.07,32.26,33.31,32.49,33.39,30.77,29.11,32.62,33.66,32.11,32.03,31.28,29.39,32.57,33.48,32.05,31.96,32.26,32.96,29.21
s01-h1_block17_524561_531649_F,32.39,33.3,31.87,31.78,32.09,32.78,29.02,98.68,98.27,32.32,33.41,31.69,33.89,30.13,29.43,99.77,99.75,100.0,99.77,99.75,100.0,99.77,99.75,100.0,72.03,74.63,72.33,71.88,32.09,33.13,32.3,33.2,30.59,28.91,32.44,33.47,31.92,31.84,31.1,29.21,32.39,33.3,31.87,31.78,32.09,32.78,29.02
s04-h1_block17_436612_440364_F,54.47,56.55,55.18,55.08,54.14,54.87,50.48,73.3,73.47,54.41,56.77,53.73,57.25,52.18,50.89,71.99,72.02,72.03,71.99,72.02,72.03,71.99,72.02,72.03,100.0,96.52,98.37,93.34,54.19,56.41,53.75,56.48,52.64,50.37,54.4,56.72,55.24,55.14,53.13,50.63,54.47,56.55,55.18,55.08,54.14,54.87,50.48
s04-h1_block17_443707_447756_F,57.6,57.85,56.52,56.4,57.38,57.97,53.2,73.4,76.28,57.51,58.05,56.99,58.53,55.38,53.59,74.79,74.81,74.63,74.79,74.81,74.63,74.79,74.81,74.63,96.52,100.0,97.33,96.06,57.32,57.68,56.5,57.82,55.82,53.06,57.53,58.02,56.58,56.46,56.34,53.38,57.6,57.85,56.52,56.4,57.38,57.97,53.2
s04-h1_block17_468218_471954_F,55.34,55.71,54.35,54.28,55.39,56.44,51.46,73.58,73.75,55.26,55.85,55.25,56.33,53.62,51.85,72.27,72.29,72.33,72.27,72.29,72.33,72.27,72.29,72.33,98.37,97.33,100.0,94.32,55.12,55.56,54.23,55.78,54.11,51.34,55.27,55.76,54.28,54.2,54.62,51.64,55.34,55.71,54.35,54.28,55.39,56.44,51.46
s04-h1_block17_492203_495908_F,53.96,54.97,53.53,53.5,54.07,56.37,57.14,70.66,73.52,53.94,55.04,54.46,55.52,56.1,56.77,72.05,72.07,71.88,72.05,72.07,71.88,72.05,72.07,71.88,93.34,96.06,94.32,100.0,53.66,54.82,54.8,55.0,55.16,56.84,53.89,55.02,53.46,53.42,55.09,57.08,53.96,54.97,53.53,53.5,54.07,56.37,57.14
s03-h1_block13_413528_422898_F,99.38,95.63,97.14,97.04,99.11,96.96,94.69,30.89,33.72,99.33,95.56,98.73,95.11,97.1,95.0,32.24,32.26,32.09,32.24,32.26,32.09,32.24,32.26,32.09,54.19,57.32,55.12,53.66,100.0,95.73,97.76,95.35,97.91,94.32,99.32,95.58,97.22,97.14,98.09,94.81,99.38,95.63,97.14,97.06,99.11,96.96,94.69
s03-h1_block13_437992_447175_F,95.91,99.8,98.08,98.26,95.91,96.39,92.52,31.99,34.75,95.85,99.34,95.5,98.89,93.94,92.89,33.29,33.31,33.13,33.29,33.31,33.13,33.29,33.31,33.13,56.41,57.68,55.56,54.82,95.73,100.0,95.52,99.43,94.41,92.23,95.84,99.63,98.02,98.18,94.91,92.63,95.91,99.8,98.08,98.24,95.91,96.39,92.52
s03-h1_block13_472092_481466_F,97.68,95.44,97.02,96.97,97.59,95.6,96.4,31.09,33.94,97.68,95.44,97.19,95.0,95.58,96.73,32.46,32.49,32.3,32.46,32.49,32.3,32.46,32.49,32.3,53.75,56.5,54.23,54.8,97.76,95.52,100.0,95.24,96.48,96.39,97.62,95.3,96.99,96.98,96.57,96.51,97.68,95.44,97.02,96.98,97.59,95.6,96.4
s03-h1_block13_496583_505736_F,95.66,99.5,97.89,98.23,95.61,96.29,92.18,32.08,34.83,95.6,99.47,95.21,99.0,93.64,92.58,33.36,33.39,33.2,33.36,33.39,33.2,33.36,33.39,33.2,56.48,57.82,55.78,55.0,95.35,99.43,95.24,100.0,94.1,92.06,95.59,99.4,97.83,98.14,94.61,92.31,95.66,99.5,97.89,98.22,95.61,96.29,92.18
s03-h1_block13_520216_529408_F,97.54,94.31,95.8,95.69,98.38,97.14,96.31,29.38,32.22,97.57,94.18,98.73,93.74,98.85,96.62,30.74,30.77,30.59,30.74,30.77,30.59,30.74,30.77,30.59,52.64,55.82,54.11,55.16,97.91,94.41,96.48,94.1,100.0,95.95,97.49,94.14,95.75,95.64,99.42,96.48,97.54,94.31,95.8,95.7,98.38,97.14,96.31
s03-h1_block13_544394_553490_F,94.22,92.13,93.72,93.67,94.4,94.16,99.37,27.71,30.55,94.22,92.11,94.81,91.66,96.41,99.01,29.08,29.11,28.91,29.08,29.11,28.91,29.08,29.11,28.91,50.37,53.06,51.34,56.84,94.32,92.23,96.39,92.06,95.95,100.0,94.17,91.96,93.67,93.63,95.43,99.25,94.22,92.13,93.72,93.69,94.4,94.16,99.37
s01-h2_block8_222352_231696_F,99.93,95.76,97.32,97.22,99.05,97.1,94.37,31.23,34.08,99.67,95.85,98.66,95.4,97.06,94.67,32.6,32.62,32.44,32.6,32.62,32.44,32.6,32.62,32.44,54.4,57.53,55.27,53.89,99.32,95.84,97.62,95.59,97.49,94.17,100.0,95.71,97.38,97.3,98.01,94.41,99.93,95.76,97.32,97.24,99.05,97.1,94.37
s01-h2_block8_246810_255969_F,95.78,99.82,97.85,97.94,95.64,96.12,92.25,32.34,35.1,95.72,99.47,95.23,99.15,93.67,92.61,33.63,33.66,33.47,33.63,33.66,33.47,33.63,33.66,33.47,56.72,58.02,55.76,55.02,95.58,99.63,95.3,99.4,94.14,91.96,95.71,100.0,97.9,97.99,94.64,92.36,95.78,99.82,97.85,97.92,95.64,96.12,92.25
s01-h2_block8_291346_300700_F,97.44,97.95,99.92,99.45,97.25,95.11,93.75,30.78,33.56,97.39,98.23,96.87,97.76,95.24,94.16,32.08,32.11,31.92,32.08,32.11,31.92,32.08,32.11,31.92,55.24,56.58,54.28,53.46,97.22,98.02,96.99,97.83,95.75,93.67,97.38,97.9,100.0,99.51,96.26,93.85,97.44,97.95,99.92,99.44,97.25,95.11,93.75
s01-h2_block8_325631_334984_F,97.36,98.05,99.48,99.9,97.18,95.08,93.75,30.72,33.47,97.31,98.0,96.75,97.53,95.22,94.12,32.0,32.03,31.84,32.0,32.03,31.84,32.0,32.03,31.84,55.14,56.46,54.2,53.42,97.14,98.18,96.98,98.14,95.64,93.63,97.3,97.99,99.51,100.0,96.18,93.83,97.36,98.05,99.48,99.92,97.18,95.08,93.75
s01-h2_block8_349479_358679_F,98.07,94.81,96.32,96.23,98.97,97.65,95.77,29.89,32.73,98.07,94.68,99.24,94.24,98.75,96.07,31.25,31.28,31.1,31.25,31.28,31.1,31.25,31.28,31.1,53.13,56.34,54.62,55.09,98.09,94.91,96.57,94.61,99.42,95.43,98.01,94.64,96.26,96.18,100.0,95.89,98.07,94.81,96.32,96.24,98.97,97.65,95.77
s01-h2_block8_373656_382742_F,94.47,92.54,93.9,93.88,94.86,94.41,99.67,27.98,30.84,94.5,92.34,95.29,91.89,96.87,99.4,29.37,29.39,29.21,29.37,29.39,29.21,29.37,29.39,29.21,50.63,53.38,51.64,57.08,94.81,92.63,96.51,92.31,96.48,99.25,94.41,92.36,93.85,93.83,95.89,100.0,94.47,92.54,93.9,93.9,94.86,94.41,99.67
s03-h2_block16_442152_451487_F,100.0,95.83,97.37,97.28,99.1,97.17,94.42,31.18,34.03,99.73,95.93,98.71,95.47,97.12,94.72,32.55,32.57,32.39,32.55,32.57,32.39,32.55,32.57,32.39,54.47,57.6,55.34,53.96,99.38,95.91,97.68,95.66,97.54,94.22,99.93,95.78,97.44,97.36,98.07,94.47,100.0,95.83,97.37,97.29,99.1,97.17,94.42
s03-h2_block16_466595_475760_F,95.83,100.0,98.01,98.11,95.81,96.29,92.43,32.16,34.92,95.77,99.51,95.4,99.05,93.85,92.78,33.46,33.48,33.3,33.46,33.48,33.3,33.46,33.48,33.3,56.55,57.85,55.71,54.97,95.63,99.8,95.44,99.5,94.31,92.13,95.76,99.82,97.95,98.05,94.81,92.54,95.83,100.0,98.01,98.1,95.81,96.29,92.43
s03-h2_block16_511146_520491_F,97.37,98.01,100.0,99.51,97.31,95.18,93.79,30.73,33.51,97.33,98.27,96.93,97.8,95.31,94.21,32.03,32.05,31.87,32.03,32.05,31.87,32.03,32.05,31.87,55.18,56.52,54.35,53.53,97.14,98.08,97.02,97.89,95.8,93.72,97.32,97.85,99.92,99.48,96.32,93.9,97.37,98.01,100.0,99.5,97.31,95.18,93.79
s03-h2_block16_545431_554774_F,97.29,98.1,99.5,99.98,97.25,95.16,93.81,30.66,33.4,97.25,98.0,96.82,97.53,95.28,94.18,31.94,31.96,31.78,31.94,31.96,31.78,31.94,31.96,31.78,55.08,56.4,54.28,53.5,97.06,98.24,96.98,98.22,95.7,93.69,97.24,97.92,99.44,99.92,96.24,93.9,97.29,98.1,99.5,100.0,97.25,95.16,93.81
s03-h2_block16_569279_578607_F,99.1,95.81,97.31,97.23,100.0,97.03,94.74,30.88,33.72,99.1,95.69,99.44,95.24,97.73,95.04,32.24,32.26,32.09,32.24,32.26,32.09,32.24,32.26,32.09,54.14,57.38,55.39,54.07,99.11,95.91,97.59,95.61,98.38,94.4,99.05,95.64,97.25,97.18,98.97,94.86,99.1,95.81,97.31,97.25,100.0,97.03,94.74
s03-h2_block16_593710_602743_F,97.17,96.29,95.18,95.15,97.03,100.0,94.31,31.58,34.41,97.04,96.36,97.45,95.91,96.65,94.59,32.93,32.96,32.78,32.93,32.96,32.78,32.93,32.96,32.78,54.87,57.97,56.44,56.37,96.96,96.39,95.6,96.29,97.14,94.16,97.1,96.12,95.11,95.08,97.65,94.41,97.17,96.29,95.18,95.16,97.03,100.0,94.31
s03-h2_block16_617702_626778_F,94.42,92.43,93.79,93.79,94.74,94.31,100.0,27.79,30.66,94.41,92.21,95.14,91.77,96.77,99.25,29.19,29.21,29.02,29.19,29.21,29.02,29.19,29.21,29.02,50.48,53.2,51.46,57.14,94.69,92.52,96.4,92.18,96.31,99.37,94.37,92.25,93.75,93.75,95.77,99.67,94.42,92.43,93.79,93.81,94.74,94.31,100.0
